Division,District,Upazila,Area (km²),Population,Pop. Density (/km²),Urban Pop. %,Main Economic Activity
Barisal,Barguna,Amtali,680.17,212000,312,18,"Fishing, Agriculture"
Barisal,Barguna,Bamna,214.86,82000,381,12,Agriculture
Barisal,Barguna,Barguna Sadar,484.25,215000,444,28,"Trade, Fishing"
Barisal,Barguna,Betagi,290.06,130000,448,15,Agriculture
Barisal,Barguna,Patharghata,396.23,145000,366,16,"Fishing, Agriculture"
Barisal,Barguna,Taltali,402.13,115000,286,11,"Fishing, Agriculture"
Barisal,Barisal,Agailjhara,158.17,138000,873,14,"Agriculture, Fishing"
Barisal,Barisal,Babuganj,160.23,158000,987,16,Agriculture
Barisal,Barisal,Bakerganj,361.73,355000,982,18,"Agriculture, Trade"
Barisal,Barisal,Banari Para,208.45,215000,1032,14,Agriculture
Barisal,Barisal,Barisal Sadar,58.08,612000,10537,85,"Trade, Services, Industry"
Barisal,Barisal,Gaurnadi,134.48,188000,1398,22,"Agriculture, Trade"
Barisal,Barisal,Hizla,167.74,135000,805,12,"Fishing, Agriculture"
Barisal,Barisal,Mehendiganj,408.73,310000,759,15,"Agriculture, Fishing"
Barisal,Barisal,Muladi,204.91,188000,918,16,Agriculture
Barisal,Barisal,Wazirpur,200.53,198000,987,17,"Agriculture, Trade"
Barisal,Bhola,Bhola Sadar,648.78,375000,578,30,"Trade, Agriculture"
Barisal,Bhola,Burhanuddin,302.15,220000,728,18,Agriculture
Barisal,Bhola,Char Fasson,1115.66,465000,417,14,"Fishing, Agriculture"
Barisal,Bhola,Daulatkhan,221.32,168000,759,16,"Agriculture, Fishing"
Barisal,Bhola,Lalmohan,399.75,280000,700,17,Agriculture
Barisal,Bhola,Manpura,373.06,98000,263,10,"Fishing, Agriculture"
Barisal,Bhola,Tazumuddin,216.94,148000,682,13,"Agriculture, Fishing"
Barisal,Jhalokati,Jhalokati Sadar,309.44,205000,662,28,"Trade, Agriculture"
Barisal,Jhalokati,Kathalia,220.67,138000,625,13,Agriculture
Barisal,Jhalokati,Nalchity,192.13,128000,666,14,Agriculture
Barisal,Jhalokati,Rajapur,214.25,148000,691,15,"Agriculture, Trade"
Barisal,Patuakhali,Bauphal,573.84,295000,514,15,"Agriculture, Fishing"
Barisal,Patuakhali,Dashmina,318.49,168000,527,13,"Fishing, Agriculture"
Barisal,Patuakhali,Dumki,115.32,98000,850,14,Agriculture
Barisal,Patuakhali,Galachipa,1011.04,315000,311,14,"Fishing, Agriculture"
Barisal,Patuakhali,Kalapara,1002.45,298000,297,16,"Fishing, Agriculture"
Barisal,Patuakhali,Mirzaganj,213.54,138000,646,14,Agriculture
Barisal,Patuakhali,Patuakhali Sadar,462.16,295000,638,32,"Trade, Services"
Barisal,Patuakhali,Rangabali,482.33,95000,197,10,Fishing
Barisal,Pirojpur,Bhandaria,212.91,155000,728,16,Agriculture
Barisal,Pirojpur,Kawkhali,176.23,128000,727,15,Agriculture
Barisal,Pirojpur,Mathbaria,406.23,248000,611,16,"Agriculture, Fishing"
Barisal,Pirojpur,Nazirpur,279.87,208000,743,15,Agriculture
Barisal,Pirojpur,Pirojpur Sadar,340.35,248000,729,30,"Trade, Agriculture"
Barisal,Pirojpur,Nesarabad,265.44,192000,723,15,Agriculture
Barisal,Pirojpur,Zianagar,183.56,138000,752,13,Agriculture
Chittagong,Bandarban,Ali Kadam,1046.26,58000,55,8,"Agriculture, Forestry"
Chittagong,Bandarban,Bandarban Sadar,1167.52,118000,101,35,"Tourism, Trade"
Chittagong,Bandarban,Lama,787.38,125000,159,12,"Agriculture, Forestry"
Chittagong,Bandarban,Naikhongchhari,1076.41,68000,63,8,"Agriculture, Forestry"
Chittagong,Bandarban,Rowangchhari,428.32,52000,121,10,"Agriculture, Forestry"
Chittagong,Bandarban,Ruma,1083.01,45000,42,8,"Agriculture, Forestry"
Chittagong,Bandarban,Thanchi,1284.03,38000,30,7,"Agriculture, Forestry"
Chittagong,Brahmanbaria,Akhaura,96.83,198000,2045,45,"Trade, Industry"
Chittagong,Brahmanbaria,Ashuganj,118.26,215000,1818,40,"Industry, Energy"
Chittagong,Brahmanbaria,Bancharampur,225.23,268000,1190,18,Agriculture
Chittagong,Brahmanbaria,Bijoynagar,178.45,198000,1110,15,Agriculture
Chittagong,Brahmanbaria,Brahmanbaria Sadar,220.63,458000,2077,55,"Trade, Services, Industry"
Chittagong,Brahmanbaria,Kasba,277.45,328000,1182,22,"Agriculture, Trade"
Chittagong,Brahmanbaria,Nabinagar,323.92,358000,1106,20,"Agriculture, Trade"
Chittagong,Brahmanbaria,Nasirnagar,325.68,298000,915,16,Agriculture
Chittagong,Brahmanbaria,Sarail,178.45,268000,1502,18,"Agriculture, Trade"
Chittagong,Chandpur,Chandpur Sadar,247.08,368000,1489,45,"Trade, Fishing"
Chittagong,Chandpur,Faridganj,260.22,298000,1145,18,"Agriculture, Fishing"
Chittagong,Chandpur,Haimchar,155.4,148000,952,15,"Agriculture, Fishing"
Chittagong,Chandpur,Haziganj,197.15,248000,1258,20,"Agriculture, Trade"
Chittagong,Chandpur,Kachua,277.37,258000,931,16,Agriculture
Chittagong,Chandpur,Matlab Dakshin,214.66,228000,1062,16,"Agriculture, Fishing"
Chittagong,Chandpur,Matlab Uttar,226.55,248000,1095,17,"Agriculture, Fishing"
Chittagong,Chandpur,Shahrasti,168.43,198000,1176,18,Agriculture
Chittagong,Chittagong,Anwara,241.73,268000,1109,22,"Industry, Agriculture"
Chittagong,Chittagong,Banshkhali,381.04,388000,1018,18,"Agriculture, Industry"
Chittagong,Chittagong,Boalkhali,133.68,258000,1930,25,"Industry, Agriculture"
Chittagong,Chittagong,Chandanaish,176.08,238000,1352,20,"Agriculture, Trade"
Chittagong,Chittagong,Chittagong Sadar,168.05,985000,5861,92,"Port, Trade, Industry"
Chittagong,Chittagong,Fatikchhari,878.34,468000,533,18,"Agriculture, Tea"
Chittagong,Chittagong,Hathazari,237.97,398000,1672,28,"Agriculture, Trade"
Chittagong,Chittagong,Karnaphuli,141.56,278000,1964,38,"Industry, Port"
Chittagong,Chittagong,Lohagara,244.71,248000,1014,15,Agriculture
Chittagong,Chittagong,Mirsharai,493.41,438000,888,22,"Industry, Agriculture"
Chittagong,Chittagong,Patiya,248.67,428000,1721,28,"Agriculture, Industry"
Chittagong,Chittagong,Rangunia,366.5,338000,922,18,"Agriculture, Forestry"
Chittagong,Chittagong,Raozan,195.39,318000,1628,25,"Agriculture, Industry"
Chittagong,Chittagong,Sandwip,762.42,358000,470,18,"Fishing, Agriculture"
Chittagong,Chittagong,Satkania,393.04,358000,911,18,Agriculture
Chittagong,Chittagong,Sitakunda,486.59,378000,777,35,"Industry, Trade"
Chittagong,Comilla,Barura,249.08,298000,1197,18,Agriculture
Chittagong,Comilla,Brahmanpara,180.18,228000,1266,16,Agriculture
Chittagong,Comilla,Burichang,176.74,258000,1460,20,"Agriculture, Trade"
Chittagong,Comilla,Chandina,226.34,318000,1405,22,"Agriculture, Trade"
Chittagong,Comilla,Chauddagram,304.41,358000,1176,20,"Agriculture, Industry"
Chittagong,Comilla,Comilla Sadar,148.35,618000,4166,75,"Trade, Services, Industry"
Chittagong,Comilla,Comilla Sadar Dakshin,168.43,298000,1770,30,"Trade, Industry"
Chittagong,Comilla,Daudkandi,341.26,368000,1078,22,"Agriculture, Trade"
Chittagong,Comilla,Debidwar,264.97,358000,1352,20,Agriculture
Chittagong,Comilla,Homna,168.06,198000,1178,16,"Agriculture, Fishing"
Chittagong,Comilla,Laksam,130.51,248000,1901,32,"Trade, Industry"
Chittagong,Comilla,Lalmai,95.12,148000,1556,22,Agriculture
Chittagong,Comilla,Manoharganj,211.79,248000,1171,16,Agriculture
Chittagong,Comilla,Meghna,139.39,178000,1277,18,"Agriculture, Fishing"
Chittagong,Comilla,Muradnagar,343.22,458000,1335,20,"Agriculture, Industry"
Chittagong,Comilla,Nangalkot,268.27,318000,1186,18,Agriculture
Chittagong,Comilla,Titas,216.17,248000,1147,16,"Agriculture, Fishing"
Chittagong,Cox's Bazar,Chakaria,727.39,448000,616,20,"Agriculture, Fishing"
Chittagong,Cox's Bazar,Cox's Bazar Sadar,318.92,448000,1405,55,"Tourism, Fishing, Trade"
Chittagong,Cox's Bazar,Kutubdia,216.65,138000,637,15,Fishing
Chittagong,Cox's Bazar,Maheshkhali,393.91,298000,757,20,"Fishing, Salt"
Chittagong,Cox's Bazar,Pekua,231.85,165000,712,15,"Fishing, Agriculture"
Chittagong,Cox's Bazar,Ramu,599.24,248000,414,18,"Agriculture, Tourism"
Chittagong,Cox's Bazar,Teknaf,412.83,248000,601,18,"Fishing, Trade"
Chittagong,Cox's Bazar,Ukhia,441.05,248000,562,12,"Agriculture, Fishing"
Chittagong,Feni,Chhagalnaiya,196.06,248000,1265,20,"Agriculture, Trade"
Chittagong,Feni,Daganbhuiyan,376.02,298000,793,18,Agriculture
Chittagong,Feni,Feni Sadar,264.88,448000,1692,52,"Trade, Services, Industry"
Chittagong,Feni,Fulgazi,168.35,168000,998,15,Agriculture
Chittagong,Feni,Parshuram,103.76,128000,1234,18,Agriculture
Chittagong,Feni,Sonagazi,259.58,248000,956,18,"Agriculture, Industry"
Chittagong,Khagrachhari,Dighinala,703.57,98000,139,12,"Agriculture, Forestry"
Chittagong,Khagrachhari,Guimara,298.43,55000,184,10,"Agriculture, Forestry"
Chittagong,Khagrachhari,Khagrachhari Sadar,621.84,178000,286,38,"Trade, Agriculture"
Chittagong,Khagrachhari,Lakshmichhari,255.56,42000,164,8,"Agriculture, Forestry"
Chittagong,Khagrachhari,Mahalchhari,338.68,48000,142,10,"Agriculture, Forestry"
Chittagong,Khagrachhari,Manikchhari,395.85,65000,164,10,"Agriculture, Forestry"
Chittagong,Khagrachhari,Matiranga,517.44,105000,203,12,"Agriculture, Trade"
Chittagong,Khagrachhari,Panchhari,697.36,68000,98,8,"Agriculture, Forestry"
Chittagong,Khagrachhari,Ramgarh,335.88,75000,223,18,"Agriculture, Trade"
Chittagong,Lakshmipur,Kamalnagar,209.47,248000,1184,15,"Fishing, Agriculture"
Chittagong,Lakshmipur,Lakshmipur Sadar,278.93,468000,1678,45,"Trade, Agriculture"
Chittagong,Lakshmipur,Ramganj,213.25,318000,1492,22,"Agriculture, Trade"
Chittagong,Lakshmipur,Ramgati,383.06,265000,692,15,"Fishing, Agriculture"
Chittagong,Lakshmipur,Raipur,105.31,198000,1880,30,"Agriculture, Trade"
Chittagong,Noakhali,Begumganj,348.2,558000,1603,28,"Agriculture, Trade"
Chittagong,Noakhali,Chatkhil,178.96,298000,1665,20,Agriculture
Chittagong,Noakhali,Companiganj,490.35,328000,669,15,"Agriculture, Fishing"
Chittagong,Noakhali,Hatiya,1587.56,358000,226,14,"Fishing, Agriculture"
Chittagong,Noakhali,Kabirhat,200.45,248000,1237,22,"Agriculture, Trade"
Chittagong,Noakhali,Noakhali Sadar,338.29,468000,1384,48,"Trade, Services"
Chittagong,Noakhali,Senbagh,168.91,248000,1469,20,Agriculture
Chittagong,Noakhali,Sonaimuri,245.52,298000,1214,18,Agriculture
Chittagong,Noakhali,Subarnachar,840.31,248000,295,12,"Agriculture, Fishing"
Chittagong,Rangamati,Bagaichhari,837.83,58000,69,8,"Agriculture, Forestry"
Chittagong,Rangamati,Barkal,1159.22,42000,36,7,"Agriculture, Forestry"
Chittagong,Rangamati,Belaichhari,655.29,32000,49,7,"Agriculture, Forestry"
Chittagong,Rangamati,Juraichhari,652.81,28000,43,6,"Agriculture, Forestry"
Chittagong,Rangamati,Kaptai,364.77,68000,186,22,"Hydropower, Forestry"
Chittagong,Rangamati,Kawkhali,340.22,42000,123,10,"Agriculture, Forestry"
Chittagong,Rangamati,Langadu,804.34,58000,72,10,"Agriculture, Forestry"
Chittagong,Rangamati,Naniarchar,499.94,38000,76,8,"Agriculture, Forestry"
Chittagong,Rangamati,Rajasthali,376.98,28000,74,7,"Agriculture, Forestry"
Chittagong,Rangamati,Rangamati Sadar,617.57,138000,224,42,"Trade, Tourism, Services"
Dhaka,Dhaka,Demra,46.89,658000,14033,88,"Industry, Trade"
Dhaka,Dhaka,Dhamrai,349.55,468000,1339,22,"Industry, Agriculture"
Dhaka,Dhaka,Dohar,165.97,248000,1494,18,Agriculture
Dhaka,Dhaka,Keraniganj,163.0,858000,5264,68,"Industry, Trade"
Dhaka,Dhaka,Nawabganj,177.71,348000,1959,28,"Agriculture, Industry"
Dhaka,Dhaka,Savar,280.54,1658000,5909,75,"Industry (EPZ), Trade"
Dhaka,Dhaka,Tejgaon (Dhaka City),306.38,8906039,29074,99,"Trade, Industry, Services"
Dhaka,Faridpur,Alfadanga,182.75,148000,810,14,Agriculture
Dhaka,Faridpur,Bhanga,248.37,248000,999,18,"Agriculture, Trade"
Dhaka,Faridpur,Boalmari,246.69,248000,1006,16,Agriculture
Dhaka,Faridpur,Char Bhadrasan,159.95,118000,738,12,Agriculture
Dhaka,Faridpur,Faridpur Sadar,372.6,468000,1256,45,"Trade, Services"
Dhaka,Faridpur,Madhukhali,195.39,178000,911,15,Agriculture
Dhaka,Faridpur,Nagarkanda,198.2,178000,898,15,Agriculture
Dhaka,Faridpur,Saltha,150.18,128000,852,13,Agriculture
Dhaka,Faridpur,Sadarpur,227.43,198000,871,14,Agriculture
Dhaka,Gazipur,Gazipur Sadar,446.04,1658000,3717,78,"Industry, Trade"
Dhaka,Gazipur,Kaliakair,327.77,858000,2618,55,"Industry (EPZ), Trade"
Dhaka,Gazipur,Kaliganj,214.08,468000,2186,35,"Industry, Agriculture"
Dhaka,Gazipur,Kapasia,375.63,348000,927,22,"Agriculture, Industry"
Dhaka,Gazipur,Sreepur,455.96,658000,1443,38,"Industry, Agriculture"
Dhaka,Gopalganj,Gopalganj Sadar,440.22,298000,678,32,"Trade, Agriculture"
Dhaka,Gopalganj,Kashiani,277.57,248000,894,18,Agriculture
Dhaka,Gopalganj,Kotalipara,305.83,248000,811,16,Agriculture
Dhaka,Gopalganj,Muksudpur,318.38,248000,779,15,Agriculture
Dhaka,Gopalganj,Tungipara,112.63,118000,1048,18,Agriculture
Dhaka,Kishoreganj,Astagram,376.02,258000,686,14,"Agriculture, Fishing"
Dhaka,Kishoreganj,Bajitpur,238.77,298000,1248,25,"Agriculture, Trade"
Dhaka,Kishoreganj,Bhairab,143.93,358000,2488,55,"Trade, Industry"
Dhaka,Kishoreganj,Hossainpur,149.06,198000,1328,18,Agriculture
Dhaka,Kishoreganj,Itna,340.19,218000,641,12,"Agriculture, Fishing"
Dhaka,Kishoreganj,Karimganj,311.25,278000,894,18,Agriculture
Dhaka,Kishoreganj,Katiadi,268.37,298000,1111,18,Agriculture
Dhaka,Kishoreganj,Kishoreganj Sadar,214.04,418000,1953,48,"Trade, Services"
Dhaka,Kishoreganj,Kuliarchar,213.38,248000,1162,18,"Agriculture, Fishing"
Dhaka,Kishoreganj,Mithamain,272.2,178000,654,12,"Agriculture, Fishing"
Dhaka,Kishoreganj,Nikli,204.79,148000,723,12,"Agriculture, Fishing"
Dhaka,Kishoreganj,Pakundia,219.47,298000,1358,20,Agriculture
Dhaka,Kishoreganj,Tarail,178.6,198000,1109,15,Agriculture
Dhaka,Madaripur,Kalkini,327.48,248000,757,15,Agriculture
Dhaka,Madaripur,Madaripur Sadar,339.73,368000,1083,38,"Trade, Agriculture"
Dhaka,Madaripur,Rajoir,208.29,188000,903,15,Agriculture
Dhaka,Madaripur,Shibchar,380.9,298000,783,16,Agriculture
Dhaka,Manikganj,Daulatpur,262.86,248000,944,16,Agriculture
Dhaka,Manikganj,Ghior,196.39,198000,1008,15,Agriculture
Dhaka,Manikganj,Harirampur,297.92,198000,665,13,Agriculture
Dhaka,Manikganj,Manikganj Sadar,282.12,298000,1056,32,"Trade, Agriculture"
Dhaka,Manikganj,Saturia,184.12,218000,1184,18,Agriculture
Dhaka,Manikganj,Shibalaya,179.53,178000,991,15,Agriculture
Dhaka,Manikganj,Singair,253.14,268000,1059,18,Agriculture
Dhaka,Munshiganj,Gazaria,120.84,248000,2053,25,"Industry, Agriculture"
Dhaka,Munshiganj,Louhajang,166.3,248000,1492,22,"Industry, Agriculture"
Dhaka,Munshiganj,Munshiganj Sadar,163.53,348000,2128,42,"Trade, Services"
Dhaka,Munshiganj,Sirajdikhan,181.86,278000,1529,20,"Agriculture, Industry"
Dhaka,Munshiganj,Sreenagar,170.78,298000,1745,28,"Industry, Agriculture"
Dhaka,Munshiganj,Tongibari,186.73,298000,1597,22,"Agriculture, Industry"
Dhaka,Narayanganj,Araihazar,184.64,458000,2481,35,"Industry, Agriculture"
Dhaka,Narayanganj,Bandar,53.0,658000,12415,88,"Industry, Trade, Port"
Dhaka,Narayanganj,Narayanganj Sadar,69.73,858000,12305,92,"Industry, Trade"
Dhaka,Narayanganj,Rupganj,176.23,858000,4869,68,"Industry, Trade"
Dhaka,Narayanganj,Sonargaon,207.83,458000,2205,35,"Industry, Tourism"
Dhaka,Narsingdi,Belabo,162.84,248000,1523,18,"Agriculture, Industry"
Dhaka,Narsingdi,Monohardi,195.18,248000,1270,18,Agriculture
Dhaka,Narsingdi,Narsingdi Sadar,235.17,658000,2798,52,"Trade, Industry"
Dhaka,Narsingdi,Palash,76.69,348000,4538,65,"Industry (Chemical), Trade"
Dhaka,Narsingdi,Raipura,379.75,468000,1233,22,"Agriculture, Industry"
Dhaka,Narsingdi,Shibpur,246.08,348000,1414,25,"Agriculture, Industry"
Dhaka,Rajbari,Baliakandi,252.82,198000,783,14,Agriculture
Dhaka,Rajbari,Goalandaghat,213.21,178000,835,18,"Fishing, Trade"
Dhaka,Rajbari,Kalukhali,133.52,148000,1108,18,Agriculture
Dhaka,Rajbari,Pangsha,250.52,248000,990,16,Agriculture
Dhaka,Rajbari,Rajbari Sadar,268.49,298000,1110,35,"Trade, Agriculture"
Dhaka,Shariatpur,Bhedarganj,302.14,298000,987,18,"Agriculture, Fishing"
Dhaka,Shariatpur,Damudya,134.48,178000,1324,20,Agriculture
Dhaka,Shariatpur,Gosairhat,239.71,198000,826,15,"Agriculture, Fishing"
Dhaka,Shariatpur,Jajira,242.34,248000,1023,18,"Agriculture, Fishing"
Dhaka,Shariatpur,Naria,264.24,248000,939,16,Agriculture
Dhaka,Shariatpur,Shariatpur Sadar,228.53,298000,1304,35,"Trade, Agriculture"
Dhaka,Tangail,Basail,146.68,148000,1009,14,Agriculture
Dhaka,Tangail,Bhuapur,234.48,248000,1058,16,Agriculture
Dhaka,Tangail,Delduar,204.58,218000,1066,16,Agriculture
Dhaka,Tangail,Dhanbari,198.76,198000,997,15,Agriculture
Dhaka,Tangail,Ghatail,378.35,368000,973,18,Agriculture
Dhaka,Tangail,Gopalpur,175.53,218000,1242,16,Agriculture
Dhaka,Tangail,Kalihati,278.44,318000,1143,18,Agriculture
Dhaka,Tangail,Madhupur,492.31,368000,748,20,"Agriculture, Forestry"
Dhaka,Tangail,Mirzapur,335.76,368000,1097,25,"Industry, Agriculture"
Dhaka,Tangail,Nagarpur,257.26,248000,964,15,Agriculture
Dhaka,Tangail,Sakhipur,371.62,248000,667,14,"Agriculture, Forestry"
Dhaka,Tangail,Tangail Sadar,348.36,658000,1889,48,"Trade, Services, Industry"
Khulna,Bagerhat,Bagerhat Sadar,479.98,298000,621,28,"Trade, Agriculture"
Khulna,Bagerhat,Chitalmari,198.28,148000,746,14,Agriculture
Khulna,Bagerhat,Fakirhat,195.4,148000,757,14,Agriculture
