Division,District,Upazila,Labour Force (est.),Unemployment Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),RMG Presence,Informal Economy (%),Child Labour (%),Overseas Migration
Barisal,Barguna,Amtali,102659,5.2,50.5,16.4,33.1,No,85.7,9.6,Low
Barisal,Barguna,Bamna,41087,2.3,46.2,9.0,44.8,No,78.6,8.6,Low
Barisal,Barguna,Barguna Sadar,110536,4.2,46.6,18.6,34.8,Some,73.2,7.1,Medium
Barisal,Barguna,Betagi,62443,6.4,45.8,16.1,38.1,No,72.2,9.2,Low
Barisal,Barguna,Patharghata,66766,6.0,65.2,10.2,24.6,No,76.4,7.1,Medium
Barisal,Barguna,Taltali,59639,4.5,53.3,16.5,30.2,No,76.9,8.0,Medium
Barisal,Barisal,Agailjhara,71618,6.7,45.7,16.0,38.3,No,78.2,9.0,Medium
Barisal,Barisal,Babuganj,73449,4.5,48.9,15.4,35.7,No,78.1,9.4,Medium
Barisal,Barisal,Bakerganj,167577,5.1,44.9,17.2,37.9,No,81.0,8.9,Medium
Barisal,Barisal,Banari Para,103464,4.1,35.9,21.7,42.4,No,85.2,8.5,Medium
Barisal,Barisal,Barisal Sadar,303847,4.5,18.2,41.7,40.1,Yes,69.7,4.5,Low
Barisal,Barisal,Gaurnadi,88821,3.1,41.3,20.6,38.1,Some,67.5,9.8,Medium
Barisal,Barisal,Hizla,63606,5.9,51.8,12.9,35.3,No,77.4,10.2,Low
Barisal,Barisal,Mehendiganj,157896,4.0,51.9,13.7,34.4,No,79.3,7.3,Medium
Barisal,Barisal,Muladi,94620,4.0,51.7,12.9,35.4,No,84.4,8.1,Low
Barisal,Barisal,Wazirpur,101466,4.8,43.2,18.7,38.1,No,70.5,9.6,Low
Barisal,Bhola,Bhola Sadar,189409,6.1,44.6,24.2,31.2,Some,74.6,7.6,Medium
Barisal,Bhola,Burhanuddin,112745,5.4,39.7,19.8,40.5,No,75.7,7.0,Low
Barisal,Bhola,Char Fasson,232264,4.3,45.6,11.9,42.5,No,71.8,6.9,Medium
Barisal,Bhola,Daulatkhan,81716,3.2,56.4,11.4,32.2,No,83.7,7.9,Medium
Barisal,Bhola,Lalmohan,132047,4.6,44.2,11.3,44.5,No,71.8,7.7,Medium
Barisal,Bhola,Manpura,46440,5.7,46.3,11.5,42.2,No,79.9,9.1,Low
Barisal,Bhola,Tazumuddin,70838,4.1,40.4,18.9,40.7,No,85.7,9.2,Low
Barisal,Jhalokati,Jhalokati Sadar,103507,4.9,35.7,13.0,51.3,Some,74.5,7.2,Medium
Barisal,Jhalokati,Kathalia,69847,5.1,50.3,17.9,31.8,No,80.7,8.6,Medium
Barisal,Jhalokati,Nalchity,62081,4.0,54.3,21.2,24.5,No,75.8,9.7,Medium
Barisal,Jhalokati,Rajapur,76887,5.3,42.4,17.9,39.7,No,82.7,10.3,Low
Barisal,Patuakhali,Bauphal,143604,6.1,40.7,5.0,54.3,No,83.9,10.1,Low
Barisal,Patuakhali,Dashmina,80038,2.7,43.6,7.6,48.8,No,84.3,7.2,Low
Barisal,Patuakhali,Dumki,50330,6.0,44.3,15.9,39.8,No,79.6,9.9,Low
Barisal,Patuakhali,Galachipa,145191,4.3,54.8,10.7,34.5,No,84.9,8.6,Medium
Barisal,Patuakhali,Kalapara,148407,3.9,44.7,19.0,36.3,No,83.4,10.5,Low
Barisal,Patuakhali,Mirzaganj,66315,5.3,58.7,17.8,23.5,No,82.4,8.1,Low
Barisal,Patuakhali,Patuakhali Sadar,149955,5.5,43.1,20.4,36.5,Some,79.9,7.2,Low
Barisal,Patuakhali,Rangabali,46886,4.5,42.2,14.3,43.5,No,76.6,8.5,Medium
Barisal,Pirojpur,Bhandaria,78973,5.3,49.9,16.0,34.1,No,70.4,10.1,Medium
Barisal,Pirojpur,Kawkhali,64386,3.5,41.5,11.8,46.7,No,74.8,10.6,Low
Barisal,Pirojpur,Mathbaria,123381,5.3,51.3,20.1,28.6,No,81.4,6.9,Medium
Barisal,Pirojpur,Nazirpur,95836,3.7,54.6,22.5,22.9,No,82.8,9.9,Low
Barisal,Pirojpur,Pirojpur Sadar,125879,5.3,39.8,24.7,35.5,Some,66.2,6.2,Medium
Barisal,Pirojpur,Nesarabad,92618,4.9,49.9,11.9,38.2,No,80.3,10.2,Medium
Barisal,Pirojpur,Zianagar,70774,5.4,44.5,18.3,37.2,No,81.8,10.7,Low
Chittagong,Bandarban,Ali Kadam,28791,4.4,56.3,8.4,35.3,No,87.1,11.2,Medium
Chittagong,Bandarban,Bandarban Sadar,58601,3.0,36.5,32.2,31.3,Some,75.9,8.0,Low
Chittagong,Bandarban,Lama,61342,5.5,47.1,5.0,47.9,No,75.9,10.2,Medium
Chittagong,Bandarban,Naikhongchhari,31948,3.6,48.8,11.7,39.5,No,78.3,10.6,Medium
Chittagong,Bandarban,Rowangchhari,24481,3.7,67.7,13.3,19.0,No,85.1,9.5,Low
Chittagong,Bandarban,Ruma,22438,2.0,51.1,14.7,34.2,No,78.5,9.0,Low
Chittagong,Bandarban,Thanchi,17781,5.3,50.5,8.8,40.7,No,78.9,9.1,Low
Chittagong,Brahmanbaria,Akhaura,101234,4.1,36.3,26.6,37.1,Yes,70.7,5.4,Low
Chittagong,Brahmanbaria,Ashuganj,109748,4.7,45.7,21.2,33.1,Yes,68.8,5.3,Medium
Chittagong,Brahmanbaria,Bancharampur,127055,3.0,45.5,10.9,43.6,No,80.2,10.3,Low
Chittagong,Brahmanbaria,Bijoynagar,100193,4.4,51.6,15.6,32.8,No,76.6,10.6,Low
Chittagong,Brahmanbaria,Brahmanbaria Sadar,215891,5.8,31.8,28.0,40.2,Yes,83.0,6.6,Medium
Chittagong,Brahmanbaria,Kasba,156692,4.7,42.2,16.1,41.7,Some,79.0,9.0,Low
Chittagong,Brahmanbaria,Nabinagar,174397,5.1,45.5,17.8,36.7,No,83.8,7.1,Low
Chittagong,Brahmanbaria,Nasirnagar,143496,4.3,53.1,7.2,39.7,No,75.5,10.6,Low
Chittagong,Brahmanbaria,Sarail,126852,3.3,39.9,16.5,43.6,No,77.4,10.1,Low
Chittagong,Chandpur,Chandpur Sadar,184557,5.9,33.8,16.7,49.5,Some,78.0,5.3,Medium
Chittagong,Chandpur,Faridganj,141779,4.3,36.3,15.8,47.9,No,81.0,6.8,Low
Chittagong,Chandpur,Haimchar,70975,6.8,55.6,12.6,31.8,No,75.2,9.0,Low
Chittagong,Chandpur,Haziganj,114331,4.8,43.6,10.9,45.5,No,82.5,9.3,Medium
Chittagong,Chandpur,Kachua,132644,4.4,41.7,19.6,38.7,No,75.7,6.7,Medium
Chittagong,Chandpur,Matlab Dakshin,112193,5.2,45.7,13.6,40.7,No,86.0,10.4,Medium
Chittagong,Chandpur,Matlab Uttar,120832,2.0,48.6,16.8,34.6,No,78.0,8.4,Medium
Chittagong,Chandpur,Shahrasti,101326,5.7,58.5,12.7,28.8,No,71.8,10.5,Medium
Chittagong,Chittagong,Anwara,126787,2.9,28.6,23.0,48.4,Some,77.1,6.5,Low
Chittagong,Chittagong,Banshkhali,197986,5.6,38.6,24.1,37.3,No,77.2,10.1,Medium
Chittagong,Chittagong,Boalkhali,130317,4.4,45.5,18.0,36.5,Some,82.3,9.0,Medium
Chittagong,Chittagong,Chandanaish,111741,4.7,49.0,16.9,34.1,No,67.6,9.4,Low
Chittagong,Chittagong,Chittagong Sadar,505606,4.1,11.2,50.8,38.0,Yes,66.0,3.4,Low
Chittagong,Chittagong,Fatikchhari,229323,3.9,41.9,18.9,39.2,No,80.9,10.0,Medium
Chittagong,Chittagong,Hathazari,197734,4.4,41.0,11.6,47.4,Some,72.8,7.5,Low
Chittagong,Chittagong,Karnaphuli,140981,3.1,44.2,25.4,30.4,Yes,74.4,7.1,Low
Chittagong,Chittagong,Lohagara,116983,6.7,44.0,14.5,41.5,No,80.1,7.9,Medium
Chittagong,Chittagong,Mirsharai,206033,3.2,42.2,19.8,38.0,Some,78.0,10.1,Medium
Chittagong,Chittagong,Patiya,204527,4.6,43.9,17.5,38.6,Some,72.7,7.6,Low
Chittagong,Chittagong,Rangunia,162540,5.8,48.3,26.5,25.2,No,71.1,6.9,Medium
Chittagong,Chittagong,Raozan,161753,3.7,37.9,16.2,45.9,Some,63.8,7.6,Medium
Chittagong,Chittagong,Sandwip,180328,5.6,40.8,23.1,36.1,No,78.2,9.2,Low
Chittagong,Chittagong,Satkania,165664,2.0,43.7,7.4,48.9,No,73.9,9.9,Low
Chittagong,Chittagong,Sitakunda,195545,4.1,30.3,20.2,49.5,Yes,81.9,7.8,Low
Chittagong,Comilla,Barura,139897,5.0,49.3,8.5,42.2,No,83.7,8.4,Low
Chittagong,Comilla,Brahmanpara,113656,5.6,45.6,27.9,26.5,No,70.7,9.3,Low
Chittagong,Comilla,Burichang,129222,5.8,43.2,15.6,41.2,No,80.4,9.9,Medium
Chittagong,Comilla,Chandina,151800,5.9,42.6,22.8,34.6,Some,82.1,6.3,Low
Chittagong,Comilla,Chauddagram,185517,3.7,37.3,22.9,39.8,No,74.9,8.3,Low
Chittagong,Comilla,Comilla Sadar,299531,3.9,19.7,31.7,48.6,Yes,70.7,2.6,Low
Chittagong,Comilla,Comilla Sadar Dakshin,153105,5.0,50.1,16.3,33.6,Some,75.5,6.5,Medium
Chittagong,Comilla,Daudkandi,172081,5.0,43.0,10.0,47.0,Some,86.6,6.4,Medium
Chittagong,Comilla,Debidwar,172311,4.6,29.5,25.6,44.9,No,80.7,7.5,Medium
Chittagong,Comilla,Homna,96438,3.5,39.8,7.6,52.6,No,77.8,9.9,Low
Chittagong,Comilla,Laksam,117356,6.1,40.0,31.3,28.7,Yes,66.6,5.8,Medium
Chittagong,Comilla,Lalmai,70642,3.2,38.6,17.5,43.9,Some,75.4,10.0,Low
Chittagong,Comilla,Manoharganj,117788,3.9,51.4,16.1,32.5,No,69.1,9.6,Low
Chittagong,Comilla,Meghna,91395,4.7,45.5,11.8,42.7,No,85.5,8.4,Low
Chittagong,Comilla,Muradnagar,222082,4.5,42.6,16.8,40.6,No,86.6,8.8,Low
Chittagong,Comilla,Nangalkot,165162,5.8,45.6,19.4,35.0,No,77.3,6.7,Medium
Chittagong,Comilla,Titas,117529,6.8,40.8,15.4,43.8,No,76.7,8.6,Low
Chittagong,Cox's Bazar,Chakaria,212956,3.8,49.8,20.6,29.6,No,73.8,9.7,Low
Chittagong,Cox's Bazar,Cox's Bazar Sadar,218543,4.4,41.6,23.7,34.7,Some,65.8,6.9,Medium
Chittagong,Cox's Bazar,Kutubdia,69199,6.0,50.1,13.8,36.1,No,75.2,7.0,Low
Chittagong,Cox's Bazar,Maheshkhali,139185,3.5,29.9,17.9,52.2,No,70.9,9.1,Low
Chittagong,Cox's Bazar,Pekua,76537,5.1,56.6,15.5,27.9,No,92.7,10.2,Low
Chittagong,Cox's Bazar,Ramu,120145,5.9,45.3,19.5,35.2,No,84.7,10.2,Low
Chittagong,Cox's Bazar,Teknaf,117283,6.1,45.9,5.0,49.1,No,76.9,8.0,Medium
Chittagong,Cox's Bazar,Ukhia,120458,5.7,45.0,12.1,42.9,No,90.7,8.5,Low
Chittagong,Feni,Chhagalnaiya,122542,4.6,43.0,11.6,45.4,No,77.6,9.7,Medium
Chittagong,Feni,Daganbhuiyan,145791,3.6,42.7,9.8,47.5,No,71.6,8.6,Medium
Chittagong,Feni,Feni Sadar,230334,4.2,32.5,23.3,44.2,Yes,72.5,4.3,Low
Chittagong,Feni,Fulgazi,77883,5.6,59.8,23.2,17.0,No,85.3,9.1,Medium
Chittagong,Feni,Parshuram,64675,5.2,44.7,13.6,41.7,No,75.6,6.7,Medium
Chittagong,Feni,Sonagazi,117857,2.9,60.4,24.5,15.1,No,75.1,10.4,Low
Chittagong,Khagrachhari,Dighinala,48628,5.2,56.6,19.8,23.6,No,78.4,9.1,Medium
Chittagong,Khagrachhari,Guimara,26444,5.5,47.9,19.0,33.1,No,79.1,10.5,Medium
Chittagong,Khagrachhari,Khagrachhari Sadar,90659,5.6,36.3,31.1,32.6,Some,66.5,7.8,Medium
Chittagong,Khagrachhari,Lakshmichhari,20249,5.5,59.7,10.7,29.6,No,82.5,8.8,Medium
Chittagong,Khagrachhari,Mahalchhari,22122,6.3,51.8,15.5,32.7,No,79.8,7.5,Medium
Chittagong,Khagrachhari,Manikchhari,32676,6.4,46.3,13.9,39.8,No,78.3,9.7,Low
Chittagong,Khagrachhari,Matiranga,50436,4.7,54.8,13.7,31.5,No,66.0,7.4,Low
Chittagong,Khagrachhari,Panchhari,33740,4.9,56.5,18.1,25.4,No,75.5,11.0,Low
Chittagong,Khagrachhari,Ramgarh,38051,4.6,44.3,12.9,42.8,No,80.1,9.7,Low
Chittagong,Lakshmipur,Kamalnagar,126546,2.8,44.7,7.6,47.7,No,83.6,10.8,Low
Chittagong,Lakshmipur,Lakshmipur Sadar,220634,4.6,44.5,30.2,25.3,Some,82.5,6.1,Medium
Chittagong,Lakshmipur,Ramganj,146717,5.1,45.7,23.3,31.0,Some,76.2,10.0,Low
Chittagong,Lakshmipur,Ramgati,127528,4.7,53.5,15.5,31.0,No,81.5,9.1,Low
Chittagong,Lakshmipur,Raipur,98187,5.1,38.0,15.5,46.5,Some,69.7,8.3,Low
Chittagong,Noakhali,Begumganj,261358,2.3,31.3,20.4,48.3,Some,72.4,8.0,Medium
Chittagong,Noakhali,Chatkhil,142100,7.2,43.2,13.6,43.2,No,78.2,7.4,Medium
Chittagong,Noakhali,Companiganj,164949,7.1,36.9,16.0,47.1,No,74.4,8.6,Medium
Chittagong,Noakhali,Hatiya,168433,5.8,48.4,15.4,36.2,No,77.2,10.5,Low
Chittagong,Noakhali,Kabirhat,115384,5.2,46.2,15.8,38.0,Some,65.6,7.1,Medium
Chittagong,Noakhali,Noakhali Sadar,237161,5.3,38.7,29.8,31.5,Some,73.7,7.4,Low
Chittagong,Noakhali,Senbagh,127819,3.7,53.3,14.7,32.0,No,73.4,10.2,Low
Chittagong,Noakhali,Sonaimuri,140665,3.8,46.4,12.3,41.3,No,71.7,10.1,Medium
Chittagong,Noakhali,Subarnachar,120275,4.9,51.1,11.7,37.2,No,78.5,8.0,Low
Chittagong,Rangamati,Bagaichhari,27276,4.4,52.5,21.1,26.4,No,73.5,11.0,Low
Chittagong,Rangamati,Barkal,21420,5.0,44.5,10.1,45.4,No,74.1,9.0,Medium
Chittagong,Rangamati,Belaichhari,16149,6.2,50.6,18.3,31.1,No,85.2,7.5,Medium
Chittagong,Rangamati,Juraichhari,14449,4.8,42.3,13.9,43.8,No,72.5,11.1,Low
Chittagong,Rangamati,Kaptai,34823,4.3,42.2,18.6,39.2,Some,86.8,9.7,Medium
Chittagong,Rangamati,Kawkhali,21236,4.7,51.6,7.9,40.5,No,83.4,7.7,Medium
Chittagong,Rangamati,Langadu,26931,5.3,57.3,13.5,29.2,No,81.2,10.6,Medium
Chittagong,Rangamati,Naniarchar,18276,6.6,39.3,8.7,52.0,No,85.0,10.5,Low
Chittagong,Rangamati,Rajasthali,13253,4.2,51.7,15.1,33.2,No,71.7,10.9,Low
Chittagong,Rangamati,Rangamati Sadar,65609,7.2,31.7,26.2,42.1,Some,80.5,5.6,Medium
Dhaka,Dhaka,Demra,313751,5.3,14.6,48.5,36.9,Yes,63.6,2.5,Low
Dhaka,Dhaka,Dhamrai,217811,4.1,49.7,14.9,35.4,Some,75.3,8.8,Low
Dhaka,Dhaka,Dohar,114441,3.8,46.4,12.1,41.5,No,74.0,7.9,Medium
Dhaka,Dhaka,Keraniganj,415218,3.9,20.7,33.4,45.9,Yes,69.8,6.2,Medium
Dhaka,Dhaka,Nawabganj,172353,4.5,46.5,25.8,27.7,Some,80.3,7.2,Low
Dhaka,Dhaka,Savar,778726,5.2,26.2,28.0,45.8,Yes,65.3,3.7,Medium
Dhaka,Dhaka,Tejgaon (Dhaka City),4261901,3.9,16.4,50.5,33.1,Yes,55.7,1.2,Low
Dhaka,Faridpur,Alfadanga,73317,5.9,50.6,8.5,40.9,No,80.6,10.0,Low
Dhaka,Faridpur,Bhanga,118518,7.2,54.7,20.4,24.9,No,69.6,10.0,Medium
Dhaka,Faridpur,Boalmari,127898,6.0,49.7,14.7,35.6,No,80.8,8.5,Medium
Dhaka,Faridpur,Char Bhadrasan,58434,6.5,44.7,13.6,41.7,No,72.8,8.1,Low
Dhaka,Faridpur,Faridpur Sadar,228314,5.2,40.6,24.3,35.1,Some,74.6,6.3,Low
Dhaka,Faridpur,Madhukhali,87432,3.9,46.9,19.7,33.4,No,73.5,8.1,Medium
Dhaka,Faridpur,Nagarkanda,86597,6.0,43.6,18.8,37.6,No,78.2,9.8,Medium
Dhaka,Faridpur,Saltha,60196,4.6,45.0,8.2,46.8,No,69.2,8.3,Medium
Dhaka,Faridpur,Sadarpur,98028,4.0,45.7,15.0,39.3,No,72.7,9.3,Medium
Dhaka,Gazipur,Gazipur Sadar,836939,6.2,20.2,35.6,44.2,Yes,71.9,5.3,Low
Dhaka,Gazipur,Kaliakair,418352,4.4,26.0,31.1,42.9,Yes,63.7,3.9,Low
Dhaka,Gazipur,Kaliganj,238411,6.6,37.8,11.5,50.7,Yes,73.2,7.9,Medium
Dhaka,Gazipur,Kapasia,169751,6.4,37.3,14.8,47.9,Some,77.2,9.1,Medium
Dhaka,Gazipur,Sreepur,315651,5.5,42.4,16.8,40.8,Yes,75.2,6.0,Low
Dhaka,Gopalganj,Gopalganj Sadar,147771,6.5,44.4,22.9,32.7,Some,83.0,7.5,Low
Dhaka,Gopalganj,Kashiani,121521,3.4,49.7,31.1,19.2,No,66.5,6.7,Low
Dhaka,Gopalganj,Kotalipara,121942,3.5,54.7,15.3,30.0,No,88.8,10.2,Low
Dhaka,Gopalganj,Muksudpur,117910,3.9,57.2,10.5,32.3,No,82.1,7.4,Low
Dhaka,Gopalganj,Tungipara,57817,4.0,39.6,20.8,39.6,No,78.9,8.0,Low
Dhaka,Kishoreganj,Astagram,118850,5.4,45.6,10.3,44.1,No,77.5,9.1,Medium
Dhaka,Kishoreganj,Bajitpur,151043,4.8,32.4,24.6,43.0,Some,70.0,9.7,Medium
Dhaka,Kishoreganj,Bhairab,168205,6.9,24.3,31.5,44.2,Yes,65.9,6.0,Low
Dhaka,Kishoreganj,Hossainpur,102210,5.7,44.7,22.8,32.5,No,80.7,9.4,Medium
Dhaka,Kishoreganj,Itna,108319,4.7,50.7,5.0,44.3,No,77.9,9.2,Low
Dhaka,Kishoreganj,Karimganj,130148,7.0,44.9,13.6,41.5,No,82.6,7.0,Low
Dhaka,Kishoreganj,Katiadi,140891,6.0,40.0,13.1,46.9,No,77.5,8.0,Medium
Dhaka,Kishoreganj,Kishoreganj Sadar,199036,6.6,33.4,22.1,44.5,Some,67.9,7.5,Low
Dhaka,Kishoreganj,Kuliarchar,127116,4.5,52.3,17.7,30.0,No,83.8,7.6,Low
Dhaka,Kishoreganj,Mithamain,86640,5.7,57.3,11.0,31.7,No,86.4,7.6,Low
Dhaka,Kishoreganj,Nikli,73309,4.7,53.5,14.5,32.0,No,82.5,10.7,Low
Dhaka,Kishoreganj,Pakundia,138002,3.9,58.1,11.9,30.0,No,85.2,9.7,Medium
Dhaka,Kishoreganj,Tarail,102406,5.6,55.9,15.2,28.9,No,77.4,10.7,Low
Dhaka,Madaripur,Kalkini,117930,4.2,53.6,15.9,30.5,No,74.0,7.4,Low
Dhaka,Madaripur,Madaripur Sadar,184014,5.6,36.1,23.6,40.3,Some,74.2,8.6,Medium
Dhaka,Madaripur,Rajoir,93314,6.7,43.8,17.8,38.4,No,83.4,6.9,Medium
Dhaka,Madaripur,Shibchar,149858,5.2,54.3,13.3,32.4,No,76.3,9.1,Low
Dhaka,Manikganj,Daulatpur,119778,5.3,43.2,5.0,51.8,No,78.3,8.3,Medium
Dhaka,Manikganj,Ghior,99766,4.7,41.0,10.7,48.3,No,82.5,7.1,Low
Dhaka,Manikganj,Harirampur,98964,5.1,56.4,13.2,30.4,No,82.1,10.1,Low
Dhaka,Manikganj,Manikganj Sadar,138808,8.1,45.2,19.7,35.1,Some,72.3,7.6,Medium
Dhaka,Manikganj,Saturia,101881,5.4,49.3,10.9,39.8,No,78.6,10.3,Medium
Dhaka,Manikganj,Shibalaya,88114,4.5,40.7,16.9,42.4,No,78.1,8.8,Low
Dhaka,Manikganj,Singair,128222,4.5,38.3,11.7,50.0,No,85.4,10.1,Low
Dhaka,Munshiganj,Gazaria,116645,6.4,38.9,18.5,42.6,Some,75.8,7.8,Medium
Dhaka,Munshiganj,Louhajang,121636,4.9,39.7,15.0,45.3,Some,85.7,7.2,Low
Dhaka,Munshiganj,Munshiganj Sadar,167155,5.8,38.7,22.0,39.3,Some,76.8,5.0,Medium
Dhaka,Munshiganj,Sirajdikhan,138310,4.7,51.3,18.6,30.1,No,75.6,8.8,Low
Dhaka,Munshiganj,Sreenagar,148114,3.7,42.4,23.5,34.1,Some,78.7,9.0,Medium
Dhaka,Munshiganj,Tongibari,145411,5.9,46.6,13.4,40.0,Some,77.5,7.8,Medium
Dhaka,Narayanganj,Araihazar,222676,4.4,36.8,26.4,36.8,Yes,69.6,5.2,Low
Dhaka,Narayanganj,Bandar,338897,6.4,26.6,38.4,35.0,Yes,66.2,2.6,Low
Dhaka,Narayanganj,Narayanganj Sadar,394686,5.3,13.9,33.8,52.3,Yes,70.4,2.3,Medium
Dhaka,Narayanganj,Rupganj,401038,4.3,19.6,37.7,42.7,Yes,73.7,3.2,Medium
Dhaka,Narayanganj,Sonargaon,232331,6.1,39.3,23.8,36.9,Yes,74.7,8.5,Low
Dhaka,Narsingdi,Belabo,115057,5.7,59.5,11.7,28.8,No,71.6,7.6,Medium
Dhaka,Narsingdi,Monohardi,115878,5.2,48.0,12.5,39.5,No,83.7,9.1,Medium
Dhaka,Narsingdi,Narsingdi Sadar,342075,3.7,34.2,22.9,42.9,Yes,70.6,7.4,Low
Dhaka,Narsingdi,Palash,176889,5.1,13.5,40.5,46.0,Yes,64.4,5.2,Medium
Dhaka,Narsingdi,Raipura,225097,4.9,48.3,17.8,33.9,Some,84.4,7.1,Low
Dhaka,Narsingdi,Shibpur,176623,6.6,40.5,23.4,36.1,Some,80.3,8.7,Medium
Dhaka,Rajbari,Baliakandi,91199,6.3,50.2,13.0,36.8,No,86.2,10.6,Low
Dhaka,Rajbari,Goalandaghat,88895,4.4,32.9,14.9,52.2,No,74.3,9.4,Medium
Dhaka,Rajbari,Kalukhali,72567,6.7,47.6,9.6,42.8,No,81.3,10.5,Medium
Dhaka,Rajbari,Pangsha,127712,4.0,46.4,16.6,37.0,No,80.1,9.0,Low
Dhaka,Rajbari,Rajbari Sadar,147310,6.1,42.4,23.5,34.1,Some,72.7,8.3,Medium
Dhaka,Shariatpur,Bhedarganj,141344,3.9,52.0,26.0,22.0,No,72.3,8.9,Medium
Dhaka,Shariatpur,Damudya,87481,4.5,54.7,24.0,21.3,No,78.8,10.3,Low
Dhaka,Shariatpur,Gosairhat,94847,5.3,44.2,10.6,45.2,No,80.8,10.6,Medium
Dhaka,Shariatpur,Jajira,116809,7.8,55.6,21.5,22.9,No,74.7,9.6,Low
Dhaka,Shariatpur,Naria,121544,5.4,43.5,21.9,34.6,No,86.4,7.2,Medium
Dhaka,Shariatpur,Shariatpur Sadar,149402,3.1,39.9,29.5,30.6,Some,67.7,8.8,Low
Dhaka,Tangail,Basail,70410,5.0,47.7,19.3,33.0,No,68.7,9.9,Low
Dhaka,Tangail,Bhuapur,126225,4.4,48.8,13.2,38.0,No,78.1,7.9,Medium
Dhaka,Tangail,Delduar,106038,7.3,42.6,16.9,40.5,No,82.2,8.9,Low
Dhaka,Tangail,Dhanbari,93117,4.3,57.1,11.8,31.1,No,78.9,8.1,Medium
Dhaka,Tangail,Ghatail,178994,4.5,50.1,13.7,36.2,No,76.7,10.3,Medium
Dhaka,Tangail,Gopalpur,102123,4.7,39.9,15.8,44.3,No,73.0,7.0,Low
Dhaka,Tangail,Kalihati,147736,4.3,46.4,21.8,31.8,No,78.8,7.0,Low
Dhaka,Tangail,Madhupur,178622,6.1,34.8,19.8,45.4,No,84.2,7.8,Low
Dhaka,Tangail,Mirzapur,170911,5.5,39.9,13.6,46.5,Some,78.1,7.1,Medium
Dhaka,Tangail,Nagarpur,124947,6.9,45.9,29.6,24.5,No,79.3,9.3,Low
Dhaka,Tangail,Sakhipur,118580,5.9,44.0,20.0,36.0,No,79.3,10.0,Low
Dhaka,Tangail,Tangail Sadar,303260,6.0,21.2,23.1,55.7,Yes,69.3,7.6,Low
Khulna,Bagerhat,Bagerhat Sadar,148383,5.7,44.9,31.1,24.0,Some,66.9,6.4,Medium
Khulna,Bagerhat,Chitalmari,71167,2.6,50.5,21.6,27.9,No,86.9,7.9,Low
Khulna,Bagerhat,Fakirhat,75707,4.5,51.6,13.1,35.3,No,82.2,10.6,Medium
Khulna,Bagerhat,Kachua,101704,5.4,49.1,10.6,40.3,No,74.2,9.2,Medium
Khulna,Bagerhat,Mollahat,85051,4.8,56.0,20.3,23.7,No,72.4,7.1,Low
Khulna,Bagerhat,Mongla,66349,5.0,49.0,11.7,39.3,Some,77.4,7.9,Medium
