Division,District,Upazila,Labour Force (est.),Unemployment Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),RMG Presence,Informal Economy (%),Child Labour (%),Overseas Migration
Khulna,Bagerhat,Morrelganj,123638,4.1,46.3,19.5,34.2,No,74.3,8.3,Low
Khulna,Bagerhat,Rampal,84440,4.9,57.7,16.3,26.0,No,71.4,9.8,Medium
Khulna,Bagerhat,Sarankhola,71285,6.6,51.3,16.3,32.4,No,69.2,8.9,Low
Khulna,Chuadanga,Alamdanga,119449,3.8,38.6,17.3,44.1,No,78.0,10.1,Medium
Khulna,Chuadanga,Chuadanga Sadar,146762,5.0,40.6,24.5,34.9,Some,75.5,6.0,Medium
Khulna,Chuadanga,Damurhuda,110934,4.7,53.7,21.2,25.1,No,86.4,9.6,Low
Khulna,Chuadanga,Jibannagar,79058,4.0,40.5,24.5,35.0,No,75.9,9.0,Medium
Khulna,Jessore,Abhaynagar,114473,4.7,44.1,19.0,36.9,No,71.5,7.0,Medium
Khulna,Jessore,Bagherpara,119218,2.8,51.7,15.8,32.5,No,78.0,6.9,Low
Khulna,Jessore,Chaugachha,126362,5.1,54.4,13.1,32.5,No,73.5,9.5,Medium
Khulna,Jessore,Jessore Sadar,283960,5.3,30.4,25.4,44.2,Yes,66.3,4.9,Low
Khulna,Jessore,Jhikargachha,153758,4.1,45.2,19.7,35.1,No,86.7,8.7,Medium
Khulna,Jessore,Keshabpur,104641,3.6,48.4,21.5,30.1,No,77.3,8.1,Low
Khulna,Jessore,Manirampur,164540,5.2,43.7,12.2,44.1,No,73.9,8.6,Low
Khulna,Jessore,Sharsha,185452,5.1,45.3,18.5,36.2,Some,83.0,7.5,Medium
Khulna,Jhenaidah,Harinakunda,94105,6.4,40.4,26.2,33.4,No,74.6,7.3,Medium
Khulna,Jhenaidah,Jhenaidah Sadar,236756,4.7,39.3,30.4,30.3,Some,63.0,6.5,Medium
Khulna,Jhenaidah,Kaliganj,148210,4.0,40.8,18.6,40.6,No,79.4,8.8,Low
Khulna,Jhenaidah,Kotchandpur,77895,2.2,39.3,8.2,52.5,No,82.5,8.5,Low
Khulna,Jhenaidah,Maheshpur,147346,5.1,47.8,12.0,40.2,No,76.0,8.3,Medium
Khulna,Jhenaidah,Shailkupa,142921,4.5,53.3,22.8,23.9,No,78.6,9.9,Low
Khulna,Khulna,Batiaghata,94005,2.3,42.4,18.6,39.0,No,74.5,9.5,Medium
Khulna,Khulna,Dacope,86226,4.7,51.6,7.4,41.0,No,82.6,9.3,Low
Khulna,Khulna,Dighalia,63494,4.3,47.0,17.3,35.7,Some,77.6,9.5,Low
Khulna,Khulna,Dumuria,143684,5.6,43.7,16.9,39.4,No,80.5,9.2,Medium
Khulna,Khulna,Koyra,79115,5.8,46.8,17.8,35.4,No,83.1,10.0,Medium
Khulna,Khulna,Khulna Sadar,409232,5.5,10.0,47.9,42.1,Yes,54.6,2.9,Medium
Khulna,Khulna,Paikgachha,117057,5.7,56.2,13.0,30.8,No,76.7,8.8,Low
Khulna,Khulna,Phultala,65947,7.6,34.6,21.7,43.7,Yes,71.7,8.3,Medium
Khulna,Khulna,Rupsha,121934,3.5,35.8,29.3,34.9,Yes,71.8,6.8,Low
Khulna,Kushtia,Bheramara,101914,4.2,39.3,22.6,38.1,Some,63.9,7.9,Medium
Khulna,Kushtia,Daulatpur,146850,5.3,34.1,19.6,46.3,No,78.1,10.2,Low
Khulna,Kushtia,Khoksa,78452,4.0,44.2,21.0,34.8,No,75.6,7.9,Low
Khulna,Kushtia,Kushtia Sadar,270421,3.0,45.4,24.0,30.6,Yes,66.3,7.2,Low
Khulna,Kushtia,Kumarkhali,151227,2.6,41.0,24.0,35.0,Some,80.6,7.7,Medium
Khulna,Kushtia,Mirpur,124212,4.6,52.8,5.0,42.2,No,75.9,8.5,Low
Khulna,Magura,Magura Sadar,190097,6.3,40.5,23.4,36.1,Some,73.1,8.0,Medium
Khulna,Magura,Mohammadpur,100990,5.1,42.4,18.3,39.3,No,87.4,9.0,Medium
Khulna,Magura,Shalikha,68641,5.5,52.7,18.1,29.2,No,72.6,9.8,Low
Khulna,Magura,Sreepur,80367,5.6,46.3,15.0,38.7,No,84.6,9.0,Medium
Khulna,Meherpur,Gangni,101072,5.3,44.9,7.6,47.5,No,82.9,10.4,Low
Khulna,Meherpur,Meherpur Sadar,122730,3.9,41.5,18.4,40.1,Some,69.7,7.0,Low
Khulna,Meherpur,Mujibnagar,40435,4.0,41.7,10.8,47.5,No,76.2,9.4,Low
Khulna,Narail,Kalia,125270,4.6,48.4,19.6,32.0,No,69.3,10.4,Medium
Khulna,Narail,Lohagara,95566,3.2,54.9,11.2,33.9,No,76.9,6.8,Medium
Khulna,Narail,Narail Sadar,140682,4.3,39.1,18.6,42.3,Some,77.1,9.2,Medium
Khulna,Satkhira,Assasuni,126501,5.3,57.8,9.0,33.2,No,81.7,10.6,Low
Khulna,Satkhira,Debhata,89374,5.2,51.8,13.1,35.1,No,69.0,8.2,Medium
Khulna,Satkhira,Kalaroa,143970,5.0,42.7,13.6,43.7,No,80.2,8.7,Low
Khulna,Satkhira,Kaliganj,119475,4.0,36.7,14.0,49.3,No,80.8,6.9,Low
Khulna,Satkhira,Satkhira Sadar,232800,5.3,42.8,30.7,26.5,Some,74.0,5.9,Medium
Khulna,Satkhira,Shyamnagar,99613,3.0,40.0,14.7,45.3,No,76.9,9.7,Low
Khulna,Satkhira,Tala,117845,5.1,49.2,5.0,45.8,No,81.5,9.1,Low
Mymensingh,Jamalpur,Baksiganj,111530,3.4,44.7,15.1,40.2,No,77.8,10.5,Low
Mymensingh,Jamalpur,Dewanganj,153685,6.0,48.2,23.0,28.8,No,79.5,10.0,Low
Mymensingh,Jamalpur,Islampur,162041,5.9,47.1,14.6,38.3,No,75.2,6.7,Medium
Mymensingh,Jamalpur,Jamalpur Sadar,281678,3.9,37.4,24.2,38.4,Some,70.3,5.2,Medium
Mymensingh,Jamalpur,Madarganj,116731,3.0,49.3,14.7,36.0,No,76.1,10.6,Low
Mymensingh,Jamalpur,Melandaha,140200,6.3,46.2,19.5,34.3,No,77.2,9.1,Medium
Mymensingh,Jamalpur,Sarishabari,148436,4.0,45.4,27.4,27.2,No,88.1,9.6,Medium
Mymensingh,Mymensingh,Bhaluka,234166,3.2,45.7,21.3,33.0,Some,74.5,6.8,Medium
Mymensingh,Mymensingh,Dhobaura,80043,2.9,52.7,25.5,21.8,No,76.6,9.9,Low
Mymensingh,Mymensingh,Fulbaria,160493,3.8,42.3,16.6,41.1,No,69.1,10.1,Low
Mymensingh,Mymensingh,Gaffargaon,193617,4.3,53.5,20.5,26.0,No,84.6,10.2,Medium
Mymensingh,Mymensingh,Gauripur,148833,4.4,36.9,11.2,51.9,No,80.2,7.8,Medium
Mymensingh,Mymensingh,Haluaghat,152831,3.5,50.8,18.1,31.1,No,85.8,9.1,Low
Mymensingh,Mymensingh,Ishwarganj,164550,4.1,41.2,18.9,39.9,No,80.0,9.1,Medium
Mymensingh,Mymensingh,Mymensingh Sadar,393878,3.4,31.8,32.0,36.2,Yes,71.3,3.5,Low
Mymensingh,Mymensingh,Muktagachha,146875,6.5,46.0,21.8,32.2,No,87.5,8.5,Medium
Mymensingh,Mymensingh,Nandail,179470,2.5,44.2,15.8,40.0,No,75.1,10.2,Low
Mymensingh,Mymensingh,Phulpur,203149,6.9,54.7,12.7,32.6,No,84.5,7.8,Low
Mymensingh,Mymensingh,Trishal,201616,3.5,44.3,22.2,33.5,Some,70.0,6.9,Low
Mymensingh,Netrokona,Atpara,91877,3.3,54.1,12.3,33.6,No,77.5,7.4,Medium
Mymensingh,Netrokona,Barhatta,102124,4.4,48.7,20.3,31.0,No,79.4,9.5,Medium
Mymensingh,Netrokona,Durgapur,82547,3.8,45.6,20.9,33.5,No,75.6,9.8,Medium
Mymensingh,Netrokona,Kalmakanda,108809,8.2,43.0,14.9,42.1,No,77.5,9.4,Medium
Mymensingh,Netrokona,Kendua,165034,7.1,54.9,17.8,27.3,No,77.7,10.8,Medium
Mymensingh,Netrokona,Khaliajuri,72523,5.4,38.5,16.8,44.7,No,75.8,7.4,Medium
Mymensingh,Netrokona,Madan,97655,5.9,59.2,18.2,22.6,No,66.2,8.2,Medium
Mymensingh,Netrokona,Mohanganj,94872,3.6,46.2,18.5,35.3,No,75.3,8.8,Medium
Mymensingh,Netrokona,Netrokona Sadar,179638,4.2,38.7,29.4,31.9,Some,73.7,8.8,Low
Mymensingh,Netrokona,Purbadhala,149754,4.3,43.1,21.2,35.7,No,79.6,10.4,Low
Mymensingh,Sherpur,Jhenaigati,75881,6.3,39.9,8.4,51.7,No,85.9,9.5,Medium
Mymensingh,Sherpur,Nakla,123477,4.5,52.0,18.4,29.6,No,69.3,9.5,Low
Mymensingh,Sherpur,Nalitabari,128787,2.7,52.4,11.7,35.9,No,81.1,10.2,Medium
Mymensingh,Sherpur,Sherpur Sadar,211642,3.6,43.2,28.1,28.7,Some,75.6,7.3,Low
Mymensingh,Sherpur,Sreebardi,111841,4.7,41.2,13.5,45.3,No,85.3,10.5,Low
Rajshahi,Bogura,Adamdighi,94034,4.5,40.4,8.1,51.5,No,82.3,9.1,Low
Rajshahi,Bogura,Bogura Sadar,365661,2.8,30.0,29.9,40.1,Yes,79.5,3.9,Low
Rajshahi,Bogura,Dhunat,154762,5.8,34.0,13.0,53.0,No,79.3,8.7,Medium
Rajshahi,Bogura,Dupchanchia,84035,5.3,39.0,8.9,52.1,No,74.4,6.9,Medium
Rajshahi,Bogura,Gabtali,152587,5.7,42.0,6.1,51.9,No,72.7,9.8,Medium
Rajshahi,Bogura,Kahaloo,120596,4.3,43.8,15.9,40.3,No,82.8,10.4,Medium
Rajshahi,Bogura,Nandigram,91957,3.5,40.5,5.0,54.5,No,83.8,7.0,Medium
Rajshahi,Bogura,Sariakandi,119701,4.1,53.4,18.5,28.1,No,68.8,8.0,Low
Rajshahi,Bogura,Shajahanpur,99654,3.5,46.7,13.9,39.4,No,86.2,9.1,Medium
Rajshahi,Bogura,Sherpur,148124,5.6,42.5,10.4,47.1,No,75.0,7.4,Low
Rajshahi,Bogura,Shibganj,190203,3.0,42.7,16.6,40.7,No,81.4,7.9,Low
Rajshahi,Bogura,Sonatola,81998,2.0,56.1,5.0,38.9,No,89.0,9.3,Low
Rajshahi,Chapainawabganj,Bholahat,58412,4.3,54.1,11.1,34.8,No,71.2,8.4,Low
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,234216,4.5,40.3,27.7,32.0,Some,73.1,7.4,Low
Rajshahi,Chapainawabganj,Gomastapur,152449,5.4,54.0,20.9,25.1,No,84.1,7.0,Medium
Rajshahi,Chapainawabganj,Nachole,92694,3.6,62.6,14.6,22.8,No,80.1,8.3,Low
Rajshahi,Chapainawabganj,Shibganj,190031,2.8,35.6,5.0,59.4,No,81.8,9.6,Low
Rajshahi,Joypurhat,Akkelpur,72609,6.5,41.0,14.2,44.8,No,88.1,10.0,Low
Rajshahi,Joypurhat,Joypurhat Sadar,146630,6.4,40.5,23.5,36.0,Some,66.2,6.0,Medium
Rajshahi,Joypurhat,Kalai,97828,6.4,45.4,14.5,40.1,No,81.9,10.4,Medium
Rajshahi,Joypurhat,Khetlal,69187,5.3,54.4,11.5,34.1,No,73.1,9.4,Low
Rajshahi,Joypurhat,Panchbibi,93085,2.9,44.0,12.8,43.2,No,79.0,8.8,Medium
Rajshahi,Naogaon,Atrai,122825,5.4,43.6,10.3,46.1,No,82.4,8.0,Low
Rajshahi,Naogaon,Badalgachhi,100911,3.8,38.9,21.2,39.9,No,80.8,9.5,Medium
Rajshahi,Naogaon,Dhamoirhat,91619,2.9,52.7,10.9,36.4,No,75.8,10.8,Low
Rajshahi,Naogaon,Manda,150238,5.2,38.1,11.3,50.6,No,79.4,7.3,Low
Rajshahi,Naogaon,Mahadebpur,148994,2.5,39.0,22.3,38.7,No,71.9,8.8,Low
Rajshahi,Naogaon,Naogaon Sadar,217274,5.5,47.2,28.5,24.3,Some,78.7,8.8,Medium
Rajshahi,Naogaon,Niamatpur,120792,3.6,58.0,13.5,28.5,No,79.2,10.0,Low
Rajshahi,Naogaon,Patnitala,114550,6.3,46.6,22.8,30.6,No,71.6,9.1,Low
Rajshahi,Naogaon,Porsha,93628,4.8,43.8,14.2,42.0,No,83.7,7.8,Low
Rajshahi,Naogaon,Raninagar,92296,3.0,52.8,15.5,31.7,No,75.7,8.3,Low
Rajshahi,Naogaon,Sapahar,95214,4.1,53.2,10.0,36.8,No,71.4,10.0,Medium
Rajshahi,Natore,Bagatipara,71719,5.4,49.9,18.1,32.0,No,78.7,10.0,Low
Rajshahi,Natore,Baraigram,150551,2.2,53.0,23.5,23.5,No,71.8,7.6,Low
Rajshahi,Natore,Gurudaspur,119975,4.3,45.1,15.9,39.0,No,67.3,10.4,Low
Rajshahi,Natore,Lalpur,128679,2.3,43.8,10.3,45.9,No,87.0,10.6,Low
Rajshahi,Natore,Natore Sadar,211845,5.6,34.4,24.3,41.3,Some,72.9,7.8,Low
Rajshahi,Natore,Singra,162214,5.0,52.1,15.4,32.5,No,83.5,9.6,Low
Rajshahi,Pabna,Atgharia,84047,2.0,47.4,21.1,31.5,No,83.4,10.8,Medium
Rajshahi,Pabna,Bera,144084,4.4,50.7,21.0,28.3,No,80.4,8.2,Low
Rajshahi,Pabna,Bhangura,83035,3.8,59.5,14.8,25.7,No,84.4,8.7,Medium
Rajshahi,Pabna,Chatmohar,122446,4.3,47.6,14.5,37.9,No,79.2,10.6,Low
Rajshahi,Pabna,Faridpur,98642,3.0,57.3,15.4,27.3,No,75.5,8.4,Medium
Rajshahi,Pabna,Ishwardi,171204,3.9,43.0,29.7,27.3,Yes,75.8,6.2,Low
Rajshahi,Pabna,Pabna Sadar,257301,3.3,25.6,22.3,52.1,Yes,71.5,5.9,Low
Rajshahi,Pabna,Santhia,141385,5.2,51.7,9.9,38.4,No,80.9,8.0,Low
Rajshahi,Pabna,Sujanagar,115002,3.7,39.0,28.0,33.0,No,74.1,9.2,Low
Rajshahi,Rajshahi,Bagha,101898,4.4,50.9,8.9,40.2,No,77.9,9.7,Low
Rajshahi,Rajshahi,Bagmara,165701,6.1,39.8,20.8,39.4,No,79.6,8.0,Medium
Rajshahi,Rajshahi,Charghat,97756,5.4,51.1,17.5,31.4,No,82.0,6.6,Medium
Rajshahi,Rajshahi,Durgapur,116579,5.3,49.8,12.5,37.7,No,85.1,9.6,Medium
Rajshahi,Rajshahi,Godagari,148120,5.2,47.7,12.4,39.9,No,80.7,8.3,Low
Rajshahi,Rajshahi,Mohanpur,102952,6.9,55.9,19.4,24.7,No,84.9,10.3,Medium
Rajshahi,Rajshahi,Paba,170899,3.9,25.3,23.1,51.6,Yes,85.8,7.6,Low
Rajshahi,Rajshahi,Putia,110538,4.1,56.1,11.2,32.7,No,82.3,9.8,Low
Rajshahi,Rajshahi,Rajshahi Sadar,362784,5.7,10.0,34.6,55.4,Yes,76.0,3.0,Low
Rajshahi,Sirajganj,Belkuchi,142671,2.6,46.5,19.3,34.2,Some,77.8,7.9,Low
Rajshahi,Sirajganj,Chauhali,96719,3.4,53.8,11.2,35.0,No,79.8,9.0,Medium
Rajshahi,Sirajganj,Kamarkhand,116950,2.0,47.3,13.1,39.6,Some,76.3,10.0,Low
Rajshahi,Sirajganj,Kazipur,148129,2.0,59.7,17.9,22.4,No,76.0,8.0,Low
Rajshahi,Sirajganj,Raiganj,160502,5.5,44.3,15.4,40.3,No,75.0,7.4,Low
Rajshahi,Sirajganj,Shahjadpur,274382,2.9,41.8,17.6,40.6,Some,86.3,5.9,Medium
Rajshahi,Sirajganj,Sirajganj Sadar,292718,3.7,28.3,26.9,44.8,Some,64.5,6.1,Low
Rajshahi,Sirajganj,Tarash,97379,3.1,50.9,5.0,44.1,No,80.8,9.4,Low
Rajshahi,Sirajganj,Ullahpara,160211,3.7,49.7,19.1,31.2,No,66.8,8.9,Medium
Rangpur,Dinajpur,Birampur,97767,6.8,46.5,21.8,31.7,No,69.9,10.4,Medium
Rangpur,Dinajpur,Birganj,140588,6.0,39.6,13.7,46.7,No,84.7,6.8,Low
Rangpur,Dinajpur,Biral,127869,5.7,44.7,16.5,38.8,No,75.2,8.1,Low
Rangpur,Dinajpur,Bochaganj,108235,4.5,47.2,17.0,35.8,No,70.1,9.7,Low
Rangpur,Dinajpur,Chirirbandar,121816,6.1,49.8,5.0,45.2,No,88.4,7.0,Low
Rangpur,Dinajpur,Dinajpur Sadar,326549,4.6,24.6,41.3,34.1,Yes,68.8,5.7,Medium
Rangpur,Dinajpur,Fulbari,101166,6.4,53.6,15.4,31.0,No,77.6,9.4,Low
Rangpur,Dinajpur,Ghoraghat,69590,4.5,52.0,16.2,31.8,No,90.3,7.4,Low
Rangpur,Dinajpur,Hakimpur,64009,5.4,43.3,10.4,46.3,No,77.8,7.6,Medium
Rangpur,Dinajpur,Kaharole,101859,4.2,49.2,13.3,37.5,No,81.7,7.4,Low
Rangpur,Dinajpur,Khansama,91418,7.0,37.4,7.2,55.4,No,74.4,6.9,Low
Rangpur,Dinajpur,Nawabganj,121233,6.2,47.6,7.3,45.1,No,80.6,6.9,Low
Rangpur,Dinajpur,Parbatipur,142897,5.1,46.1,21.2,32.7,Some,77.2,7.7,Low
Rangpur,Gaibandha,Fulchhari,104017,4.4,45.2,5.5,49.3,No,79.0,8.3,Medium
Rangpur,Gaibandha,Gaibandha Sadar,242461,7.0,38.8,16.7,44.5,Some,78.9,8.4,Medium
Rangpur,Gaibandha,Gobindaganj,246450,4.3,56.6,12.4,31.0,No,67.8,8.0,Low
Rangpur,Gaibandha,Palashbari,121762,5.4,58.5,17.1,24.4,No,73.6,7.1,Low
Rangpur,Gaibandha,Sadullapur,146991,4.8,36.4,27.1,36.5,No,78.5,7.2,Low
Rangpur,Gaibandha,Saghata,124625,6.5,50.0,12.6,37.4,No,66.0,9.8,Low
Rangpur,Gaibandha,Sundarganj,197255,5.1,41.4,11.5,47.1,No,77.8,7.1,Low
Rangpur,Kurigram,Bhurungamari,146002,5.9,49.8,14.4,35.8,No,78.1,8.4,Medium
Rangpur,Kurigram,Char Rajibpur,60814,4.8,52.6,20.5,26.9,No,95.0,9.2,Medium
Rangpur,Kurigram,Chilmari,82694,5.0,49.1,7.5,43.4,No,81.8,7.3,Medium
Rangpur,Kurigram,Kurigram Sadar,229741,4.9,43.1,16.1,40.8,Some,72.7,7.8,Low
Rangpur,Kurigram,Nageshwari,218817,7.9,50.7,14.0,35.3,No,70.7,10.2,Low
Rangpur,Kurigram,Phulbari,105164,4.1,46.7,18.6,34.7,No,73.7,10.1,Medium
Rangpur,Kurigram,Rajarhat,127747,7.2,46.0,15.7,38.3,No,79.1,9.8,Medium
Rangpur,Kurigram,Raumari,123678,6.7,51.6,12.7,35.7,No,82.8,7.9,Medium
Rangpur,Kurigram,Ulipur,226317,3.3,45.0,22.3,32.7,No,77.5,9.3,Low
Rangpur,Lalmonirhat,Aditmari,92043,4.8,38.5,9.3,52.2,No,77.9,9.0,Low
Rangpur,Lalmonirhat,Hatibandha,154243,6.5,41.6,18.8,39.6,No,84.5,8.2,Medium
Rangpur,Lalmonirhat,Kaliganj,118544,6.7,54.2,15.7,30.1,No,71.2,6.8,Medium
Rangpur,Lalmonirhat,Lalmonirhat Sadar,168255,3.5,38.5,21.2,40.3,Some,75.8,8.4,Medium
Rangpur,Lalmonirhat,Patgram,175566,5.6,52.0,7.8,40.2,No,84.2,7.2,Low
Rangpur,Nilphamari,Dimla,151593,4.1,50.1,18.5,31.4,No,80.1,10.2,Low
Rangpur,Nilphamari,Domar,120498,8.1,49.5,11.1,39.4,No,76.0,9.8,Low
Rangpur,Nilphamari,Jaldhaka,120599,5.7,50.1,22.3,27.6,No,87.2,8.4,Medium
Rangpur,Nilphamari,Kishoreganj,101373,5.9,58.0,16.4,25.6,No,80.2,9.5,Low
Rangpur,Nilphamari,Nilphamari Sadar,219581,4.4,39.1,19.7,41.2,Some,73.6,6.2,Medium
Rangpur,Nilphamari,Saidpur,197199,4.5,23.8,42.1,34.1,Yes,63.4,4.4,Low
Rangpur,Panchagarh,Atwari,79692,4.5,57.0,20.2,22.8,No,76.2,9.9,Medium
Rangpur,Panchagarh,Boda,118516,4.3,49.2,12.6,38.2,No,73.4,7.8,Low
Rangpur,Panchagarh,Debiganj,128703,4.5,45.0,10.9,44.1,No,71.2,9.3,Low
Rangpur,Panchagarh,Panchagarh Sadar,142080,6.6,50.7,12.9,36.4,Some,66.1,8.7,Low
Rangpur,Panchagarh,Tetulia,87130,4.3,43.7,8.5,47.8,No,78.8,7.1,Medium
Rangpur,Rangpur,Badarganj,115712,4.7,47.5,18.0,34.5,No,83.0,9.8,Low
Rangpur,Rangpur,Gangachara,153415,4.6,43.4,8.5,48.1,No,68.8,8.4,Low
Rangpur,Rangpur,Kaunia,94064,4.8,45.5,19.3,35.2,No,74.6,7.9,Low
Rangpur,Rangpur,Mithapukur,234509,6.0,46.0,21.6,32.4,No,75.9,6.8,Low
Rangpur,Rangpur,Pirgachha,137656,6.3,46.9,8.8,44.3,No,78.4,7.2,Low
Rangpur,Rangpur,Pirganj,193120,6.4,62.3,22.6,15.1,No,74.8,10.6,Low
Rangpur,Rangpur,Rangpur Sadar,332161,5.5,25.2,29.6,45.2,Yes,68.4,5.8,Low
Rangpur,Rangpur,Taraganj,96329,4.5,46.6,17.0,36.4,No,76.3,7.5,Medium
Rangpur,Thakurgaon,Baliadangi,126948,4.5,41.5,12.0,46.5,No,82.9,9.2,Low
Rangpur,Thakurgaon,Haripur,96417,4.5,49.3,18.4,32.3,No,74.2,9.0,Low
Rangpur,Thakurgaon,Pirganj,154866,7.2,45.8,13.7,40.5,No,68.4,9.9,Medium
Rangpur,Thakurgaon,Ranisankail,145349,5.2,52.9,21.0,26.1,No,75.6,9.8,Low
Rangpur,Thakurgaon,Thakurgaon Sadar,206234,5.1,39.9,22.8,37.3,Some,77.6,6.6,Low
Sylhet,Habiganj,Ajmiriganj,76951,5.2,48.4,15.0,36.6,No,65.6,10.0,High
Sylhet,Habiganj,Bahubal,91944,4.7,54.9,11.0,34.1,No,83.1,8.7,High
Sylhet,Habiganj,Baniachong,185954,6.8,45.9,11.9,42.2,No,80.7,10.0,High
Sylhet,Habiganj,Chunarughat,118462,6.0,55.1,21.3,23.6,No,76.6,8.9,High
Sylhet,Habiganj,Habiganj Sadar,217817,7.0,45.8,30.5,23.7,Some,72.6,7.2,High
Sylhet,Habiganj,Lakhai,85716,6.3,54.6,13.1,32.3,No,88.2,9.9,High
Sylhet,Habiganj,Madhabpur,117567,4.3,42.2,16.3,41.5,No,72.7,10.0,High
Sylhet,Habiganj,Nabiganj,154321,5.9,47.2,15.1,37.7,No,82.2,9.7,High
Sylhet,Moulvibazar,Barlekha,99846,4.4,36.6,16.0,47.4,No,82.2,10.4,High
Sylhet,Moulvibazar,Juri,74623,6.2,43.3,8.7,48.0,No,85.5,10.1,High
Sylhet,Moulvibazar,Kamalganj,91213,6.5,54.6,18.5,26.9,No,84.5,8.4,High
Sylhet,Moulvibazar,Kulaura,140631,5.9,52.6,19.4,28.0,No,72.6,9.3,High
Sylhet,Moulvibazar,Moulvibazar Sadar,173845,7.9,34.5,24.6,40.9,Some,78.5,7.3,High
Sylhet,Moulvibazar,Rajnagar,71915,6.1,47.3,6.6,46.1,No,85.4,7.2,High
Sylhet,Moulvibazar,Sreemangal,101448,6.8,36.7,15.9,47.4,Some,74.3,6.9,High
Sylhet,Sunamganj,Bishwamvarpur,73140,5.6,44.3,18.6,37.1,No,80.6,9.9,High
Sylhet,Sunamganj,Chhatak,140853,7.2,41.1,27.7,31.2,Some,70.0,9.2,High
Sylhet,Sunamganj,Derai,112433,8.0,61.5,16.0,22.5,No,90.4,7.8,High
Sylhet,Sunamganj,Dharampasha,94440,5.5,47.2,11.2,41.6,No,76.1,10.5,High
Sylhet,Sunamganj,Dowarabazar,70356,6.7,42.0,10.1,47.9,No,76.8,8.3,High
Sylhet,Sunamganj,Jamalganj,76748,4.8,52.1,7.2,40.7,No,73.9,8.4,High
Sylhet,Sunamganj,Jagannathpur,124798,6.5,46.7,17.5,35.8,No,77.2,10.5,High
Sylhet,Sunamganj,Sulla,75415,4.9,50.6,19.3,30.1,No,85.4,9.1,High
Sylhet,Sunamganj,Sunamganj Sadar,163363,6.4,39.7,26.5,33.8,Some,82.5,8.5,High
Sylhet,Sunamganj,Tahirpur,84595,6.5,54.6,14.4,31.0,No,80.6,9.8,High
Sylhet,Sylhet,Balaganj,154513,6.7,47.3,12.8,39.9,No,73.4,9.5,High
Sylhet,Sylhet,Beani Bazar,143608,5.8,47.8,16.4,35.8,No,78.4,9.8,High
Sylhet,Sylhet,Bishwanath,153754,5.8,47.1,17.6,35.3,No,79.5,8.4,High
Sylhet,Sylhet,Companiganj,93889,7.1,47.4,15.2,37.4,No,84.4,7.6,High
Sylhet,Sylhet,Dakshin Surma,146427,5.4,50.4,26.1,23.5,Some,75.2,6.5,High
Sylhet,Sylhet,Fenchuganj,83581,5.2,41.8,13.9,44.3,Some,73.7,8.5,High
Sylhet,Sylhet,Golapganj,146531,5.9,41.8,15.7,42.5,No,77.3,7.2,High
Sylhet,Sylhet,Gowainghat,97654,5.1,53.7,18.9,27.4,No,68.1,10.8,High
Sylhet,Sylhet,Jaintiapur,91193,6.9,54.5,14.5,31.0,No,75.5,10.4,High
Sylhet,Sylhet,Kanaighat,114585,5.2,53.5,14.3,32.2,No,71.8,7.7,High
Sylhet,Sylhet,Osmani Nagar,146755,6.1,46.4,17.7,35.9,Some,74.2,7.1,High
Sylhet,Sylhet,Sylhet Sadar,423100,6.0,16.1,46.2,37.7,Some,64.9,3.4,High
Sylhet,Sylhet,Zakiganj,116605,7.7,47.0,17.9,35.1,No,80.7,7.6,High
