Division,District,Upazila,Smartphone Users (%),Mobile Financial Services (%),E-Commerce Activity,Digital Service Centres,Internet Cafes,Online Banking Users (%),Registered Freelancers,4G Coverage,MFS Agent Points
Barisal,Barguna,Amtali,36.4,59.2,Low,2,5,30.4,33,Partial,48
Barisal,Barguna,Bamna,37.0,59.4,Low,1,0,29.8,5,Limited,19
Barisal,Barguna,Barguna Sadar,45.3,62.2,Low,3,4,25.6,19,Partial,39
Barisal,Barguna,Betagi,36.7,56.3,Low,1,0,24.9,12,Limited,30
Barisal,Barguna,Patharghata,39.8,63.1,Low,1,1,19.9,10,Partial,30
Barisal,Barguna,Taltali,31.1,65.9,Low,1,0,27.2,2,Limited,29
Barisal,Barisal,Agailjhara,29.1,60.6,Low,1,0,10.9,3,Limited,41
Barisal,Barisal,Babuganj,29.0,57.0,Low,1,4,18.6,18,Partial,31
Barisal,Barisal,Bakerganj,29.7,70.2,Low,4,9,27.5,36,Partial,102
Barisal,Barisal,Banari Para,41.8,63.5,Low,3,0,20.9,26,Limited,53
Barisal,Barisal,Barisal Sadar,72.1,74.1,High,8,7,37.0,515,Full,138
Barisal,Barisal,Gaurnadi,43.0,53.7,Low,2,4,25.4,17,Partial,35
Barisal,Barisal,Hizla,35.5,55.1,Low,1,0,21.2,10,Limited,39
Barisal,Barisal,Mehendiganj,28.2,56.7,Low,3,0,9.6,14,Limited,57
Barisal,Barisal,Muladi,50.0,46.7,Low,2,3,20.8,22,Partial,43
Barisal,Barisal,Wazirpur,42.2,65.7,Low,2,4,25.6,29,Partial,47
Barisal,Bhola,Bhola Sadar,40.3,59.6,Low,5,10,38.7,92,Partial,61
Barisal,Bhola,Burhanuddin,30.5,69.0,Low,2,2,30.5,38,Partial,65
Barisal,Bhola,Char Fasson,32.1,67.9,Low,6,0,15.7,49,Limited,129
Barisal,Bhola,Daulatkhan,47.4,52.6,Low,2,2,21.3,20,Partial,39
Barisal,Bhola,Lalmohan,45.4,64.3,Low,4,3,24.4,12,Partial,78
Barisal,Bhola,Manpura,28.1,55.8,Low,1,0,22.6,2,Limited,28
Barisal,Bhola,Tazumuddin,37.0,75.5,Low,1,0,20.2,16,Limited,41
Barisal,Jhalokati,Jhalokati Sadar,38.4,58.6,Low,2,2,24.8,26,Partial,45
Barisal,Jhalokati,Kathalia,47.0,70.5,Low,2,0,16.8,4,Limited,23
Barisal,Jhalokati,Nalchity,31.3,40.3,Low,1,0,23.2,9,Limited,26
Barisal,Jhalokati,Rajapur,36.0,62.1,Low,2,0,24.1,3,Limited,35
Barisal,Patuakhali,Bauphal,43.9,68.4,Low,3,0,25.0,38,Limited,88
Barisal,Patuakhali,Dashmina,38.3,61.0,Low,2,0,23.8,19,Limited,48
Barisal,Patuakhali,Dumki,37.1,45.9,Low,1,0,33.3,2,Limited,27
Barisal,Patuakhali,Galachipa,35.5,63.0,Low,3,0,31.7,8,Limited,57
Barisal,Patuakhali,Kalapara,43.7,48.4,Low,3,7,26.7,25,Partial,61
Barisal,Patuakhali,Mirzaganj,33.3,56.1,Low,1,0,22.1,14,Limited,25
Barisal,Patuakhali,Patuakhali Sadar,33.9,73.5,Medium,4,3,43.2,12,Partial,53
Barisal,Patuakhali,Rangabali,33.3,45.8,Low,1,0,6.8,8,Limited,21
Barisal,Pirojpur,Bhandaria,39.5,67.0,Low,2,4,22.7,4,Partial,29
Barisal,Pirojpur,Kawkhali,45.9,48.0,Low,2,0,29.2,14,Limited,30
Barisal,Pirojpur,Mathbaria,38.3,55.3,Low,3,5,24.1,2,Partial,47
Barisal,Pirojpur,Nazirpur,36.7,53.3,Low,2,0,17.7,0,Limited,34
Barisal,Pirojpur,Pirojpur Sadar,38.9,65.2,Low,4,7,38.4,35,Partial,69
Barisal,Pirojpur,Nesarabad,45.6,63.0,Low,2,0,22.1,1,Limited,45
Barisal,Pirojpur,Zianagar,29.4,44.6,Low,2,0,15.5,5,Limited,28
Chittagong,Bandarban,Ali Kadam,51.3,63.9,Low,1,0,9.0,4,Limited,15
Chittagong,Bandarban,Bandarban Sadar,63.3,60.8,Medium,1,2,21.8,16,Partial,22
Chittagong,Bandarban,Lama,53.2,56.0,Low,1,0,22.1,1,Limited,21
Chittagong,Bandarban,Naikhongchhari,45.5,55.7,Low,1,0,17.5,2,Limited,11
Chittagong,Bandarban,Rowangchhari,50.8,53.5,Low,1,0,14.8,4,Limited,9
Chittagong,Bandarban,Ruma,55.0,56.1,Low,1,0,14.5,1,Limited,8
Chittagong,Bandarban,Thanchi,48.1,55.4,Low,1,0,10.3,1,Limited,8
Chittagong,Brahmanbaria,Akhaura,69.6,59.5,Medium,2,3,39.2,28,Full,54
Chittagong,Brahmanbaria,Ashuganj,70.9,65.5,Medium,2,3,39.1,19,Partial,35
Chittagong,Brahmanbaria,Bancharampur,57.8,54.6,Low,2,6,23.4,10,Partial,71
Chittagong,Brahmanbaria,Bijoynagar,41.9,68.9,Low,3,0,24.0,26,Limited,54
Chittagong,Brahmanbaria,Brahmanbaria Sadar,62.7,64.8,Medium,6,8,51.5,69,Full,123
Chittagong,Brahmanbaria,Kasba,44.7,72.5,Low,5,5,21.9,17,Partial,74
Chittagong,Brahmanbaria,Nabinagar,42.6,69.8,Low,5,5,15.8,0,Partial,91
Chittagong,Brahmanbaria,Nasirnagar,48.1,67.7,Low,3,5,23.4,29,Partial,48
Chittagong,Brahmanbaria,Sarail,47.3,40.8,Low,4,5,23.2,27,Partial,52
Chittagong,Chandpur,Chandpur Sadar,57.3,70.4,Medium,5,8,36.2,64,Full,92
Chittagong,Chandpur,Faridganj,49.0,66.9,Low,3,6,20.0,9,Partial,57
Chittagong,Chandpur,Haimchar,42.2,71.9,Low,2,0,21.3,9,Limited,29
Chittagong,Chandpur,Haziganj,58.0,60.1,Low,2,5,19.1,40,Partial,48
Chittagong,Chandpur,Kachua,47.2,50.8,Low,3,6,30.4,39,Partial,47
Chittagong,Chandpur,Matlab Dakshin,54.6,58.6,Low,3,2,26.7,35,Partial,48
Chittagong,Chandpur,Matlab Uttar,46.7,56.9,Low,2,3,16.2,37,Partial,59
Chittagong,Chandpur,Shahrasti,58.3,73.9,Low,2,5,11.7,0,Partial,49
Chittagong,Chittagong,Anwara,56.7,58.5,Low,3,3,30.8,14,Partial,70
Chittagong,Chittagong,Banshkhali,48.8,55.7,Low,6,6,22.6,1,Partial,99
Chittagong,Chittagong,Boalkhali,54.4,62.5,Low,3,4,19.7,29,Partial,55
Chittagong,Chittagong,Chandanaish,59.8,52.3,Low,3,5,33.5,9,Partial,42
Chittagong,Chittagong,Chittagong Sadar,73.9,84.8,High,15,11,45.2,304,Full,221
Chittagong,Chittagong,Fatikchhari,42.8,48.3,Low,6,7,29.7,41,Partial,86
Chittagong,Chittagong,Hathazari,51.6,54.9,Low,5,9,34.8,100,Partial,116
Chittagong,Chittagong,Karnaphuli,58.4,57.2,Medium,3,4,23.0,60,Partial,59
Chittagong,Chittagong,Lohagara,48.5,75.2,Low,2,0,10.6,28,Limited,55
Chittagong,Chittagong,Mirsharai,53.3,60.2,Low,6,10,31.5,89,Partial,96
Chittagong,Chittagong,Patiya,56.9,62.7,Low,4,11,23.6,118,Partial,115
Chittagong,Chittagong,Rangunia,53.4,68.1,Low,5,3,17.8,49,Partial,94
Chittagong,Chittagong,Raozan,53.1,58.4,Low,4,3,28.0,78,Partial,89
Chittagong,Chittagong,Sandwip,48.5,52.0,Low,3,5,28.2,41,Partial,75
Chittagong,Chittagong,Satkania,48.4,64.1,Low,5,9,39.6,5,Partial,88
Chittagong,Chittagong,Sitakunda,67.5,61.6,Medium,3,5,31.4,124,Partial,72
Chittagong,Comilla,Barura,59.3,61.5,Low,4,7,37.6,20,Partial,82
Chittagong,Comilla,Brahmanpara,51.1,56.5,Low,2,2,28.0,5,Partial,58
Chittagong,Comilla,Burichang,57.9,62.2,Low,3,3,18.3,42,Partial,46
Chittagong,Comilla,Chandina,55.8,64.6,Low,4,3,25.6,22,Partial,59
Chittagong,Comilla,Chauddagram,55.6,60.9,Low,4,5,17.6,63,Partial,76
Chittagong,Comilla,Comilla Sadar,70.7,67.1,High,9,6,60.0,288,Full,110
Chittagong,Comilla,Comilla Sadar Dakshin,65.2,59.5,Low,3,4,31.9,69,Partial,71
Chittagong,Comilla,Daudkandi,55.8,52.5,Low,5,10,28.5,78,Partial,74
Chittagong,Comilla,Debidwar,48.8,50.1,Low,5,5,28.2,55,Partial,61
Chittagong,Comilla,Homna,56.3,69.9,Low,2,4,27.3,29,Partial,57
Chittagong,Comilla,Laksam,53.5,51.5,Medium,3,3,25.5,72,Partial,64
Chittagong,Comilla,Lalmai,54.6,49.9,Low,1,4,25.9,2,Partial,25
Chittagong,Comilla,Manoharganj,46.4,58.6,Low,3,6,20.0,18,Partial,47
Chittagong,Comilla,Meghna,53.7,60.4,Low,2,4,33.6,26,Partial,51
Chittagong,Comilla,Muradnagar,48.5,60.6,Low,5,10,19.4,53,Partial,112
Chittagong,Comilla,Nangalkot,62.7,56.7,Low,3,3,24.7,21,Partial,89
Chittagong,Comilla,Titas,59.2,59.2,Low,2,7,20.7,19,Partial,43
Chittagong,Cox's Bazar,Chakaria,63.5,68.8,Low,5,12,38.7,75,Partial,80
Chittagong,Cox's Bazar,Cox's Bazar Sadar,75.4,62.8,Medium,4,7,37.2,3,Full,82
Chittagong,Cox's Bazar,Kutubdia,45.1,45.8,Low,1,0,25.9,6,Limited,35
Chittagong,Cox's Bazar,Maheshkhali,48.2,65.8,Low,4,7,32.1,15,Partial,50
Chittagong,Cox's Bazar,Pekua,52.0,63.6,Low,2,0,8.3,22,Limited,36
Chittagong,Cox's Bazar,Ramu,56.0,61.6,Low,3,6,19.1,2,Partial,72
Chittagong,Cox's Bazar,Teknaf,51.1,44.6,Low,3,5,14.0,13,Partial,73
Chittagong,Cox's Bazar,Ukhia,54.4,48.0,Low,3,0,11.5,6,Limited,66
Chittagong,Feni,Chhagalnaiya,56.6,59.9,Low,2,3,25.9,9,Partial,44
Chittagong,Feni,Daganbhuiyan,53.9,62.6,Low,2,5,26.7,21,Partial,65
Chittagong,Feni,Feni Sadar,58.9,64.3,Medium,5,11,31.1,46,Full,84
Chittagong,Feni,Fulgazi,47.8,58.1,Low,2,0,23.3,6,Limited,30
Chittagong,Feni,Parshuram,52.9,59.7,Low,1,2,29.2,22,Partial,34
Chittagong,Feni,Sonagazi,47.8,56.9,Low,3,4,28.5,13,Partial,67
Chittagong,Khagrachhari,Dighinala,56.2,53.0,Low,1,0,18.1,1,Limited,21
Chittagong,Khagrachhari,Guimara,48.2,60.2,Low,1,0,18.5,0,Limited,15
Chittagong,Khagrachhari,Khagrachhari Sadar,67.8,58.3,Medium,1,2,31.4,67,Partial,31
Chittagong,Khagrachhari,Lakshmichhari,54.6,51.6,Low,1,0,10.8,2,Limited,11
Chittagong,Khagrachhari,Mahalchhari,46.3,52.7,Low,1,0,21.4,0,Limited,14
Chittagong,Khagrachhari,Manikchhari,47.0,47.6,Low,1,0,24.0,4,Limited,10
Chittagong,Khagrachhari,Matiranga,48.5,69.5,Low,1,0,19.2,9,Limited,20
Chittagong,Khagrachhari,Panchhari,52.6,67.2,Low,1,0,25.5,3,Limited,12
Chittagong,Khagrachhari,Ramgarh,47.0,53.5,Low,1,2,14.1,2,Partial,15
Chittagong,Lakshmipur,Kamalnagar,53.5,62.5,Low,2,0,13.0,34,Limited,52
Chittagong,Lakshmipur,Lakshmipur Sadar,57.8,66.6,Medium,5,9,32.3,137,Full,106
Chittagong,Lakshmipur,Ramganj,65.2,58.6,Low,3,4,33.2,38,Partial,75
Chittagong,Lakshmipur,Ramgati,60.7,62.1,Low,3,0,23.6,10,Limited,48
Chittagong,Lakshmipur,Raipur,58.2,63.6,Low,2,3,25.4,50,Partial,44
Chittagong,Noakhali,Begumganj,56.1,61.2,Low,7,7,35.7,84,Partial,96
Chittagong,Noakhali,Chatkhil,55.4,59.2,Low,3,7,19.1,26,Partial,82
Chittagong,Noakhali,Companiganj,50.1,60.2,Low,3,0,10.9,46,Limited,80
Chittagong,Noakhali,Hatiya,47.6,44.9,Low,3,0,34.4,37,Limited,76
Chittagong,Noakhali,Kabirhat,60.9,56.9,Low,3,4,35.8,49,Partial,61
Chittagong,Noakhali,Noakhali Sadar,60.3,74.5,Medium,6,13,37.4,28,Full,122
Chittagong,Noakhali,Senbagh,55.4,47.3,Low,2,6,20.1,31,Partial,62
Chittagong,Noakhali,Sonaimuri,38.0,75.4,Low,4,8,21.9,53,Partial,71
Chittagong,Noakhali,Subarnachar,51.6,61.4,Low,2,0,19.0,24,Limited,62
Chittagong,Rangamati,Bagaichhari,42.6,65.0,Low,1,0,18.0,1,Limited,15
Chittagong,Rangamati,Barkal,50.6,58.3,Low,1,0,33.6,2,Limited,10
Chittagong,Rangamati,Belaichhari,50.8,58.4,Low,1,0,17.8,1,Limited,7
Chittagong,Rangamati,Juraichhari,48.9,60.8,Low,1,0,13.3,0,Limited,4
Chittagong,Rangamati,Kaptai,50.4,74.2,Low,1,1,19.9,10,Partial,11
Chittagong,Rangamati,Kawkhali,32.5,55.0,Low,1,0,21.9,3,Limited,7
Chittagong,Rangamati,Langadu,51.8,52.4,Low,1,0,18.6,4,Limited,10
Chittagong,Rangamati,Naniarchar,53.8,60.7,Low,1,0,23.7,0,Limited,11
Chittagong,Rangamati,Rajasthali,43.3,56.1,Low,1,0,18.3,0,Limited,4
Chittagong,Rangamati,Rangamati Sadar,60.2,69.7,Medium,1,2,27.5,10,Full,29
Dhaka,Dhaka,Demra,77.0,88.2,High,9,19,54.6,86,Full,159
Dhaka,Dhaka,Dhamrai,58.6,64.8,Low,4,10,26.5,69,Partial,135
Dhaka,Dhaka,Dohar,51.2,55.1,Low,2,2,28.6,4,Partial,56
Dhaka,Dhaka,Keraniganj,64.9,69.9,High,10,22,47.7,83,Full,162
Dhaka,Dhaka,Nawabganj,51.9,58.6,Low,5,6,31.4,71,Partial,79
Dhaka,Dhaka,Savar,71.5,80.7,High,16,25,64.7,632,Full,400
Dhaka,Dhaka,Tejgaon (Dhaka City),90.0,77.8,High,106,136,55.4,355,Full,1678
Dhaka,Faridpur,Alfadanga,74.0,61.0,Low,1,0,32.8,15,Limited,29
Dhaka,Faridpur,Bhanga,47.1,76.8,Low,2,6,24.9,26,Partial,66
Dhaka,Faridpur,Boalmari,67.3,63.9,Low,3,7,35.0,28,Partial,51
Dhaka,Faridpur,Char Bhadrasan,62.8,61.2,Low,1,0,19.4,3,Limited,19
Dhaka,Faridpur,Faridpur Sadar,66.4,63.9,Medium,6,13,35.5,15,Full,103
Dhaka,Faridpur,Madhukhali,61.4,65.8,Low,2,0,34.6,18,Limited,37
Dhaka,Faridpur,Nagarkanda,62.2,53.0,Low,2,0,17.8,17,Limited,28
Dhaka,Faridpur,Saltha,65.9,58.4,Low,1,0,22.9,13,Limited,31
Dhaka,Faridpur,Sadarpur,61.8,62.1,Low,3,0,16.9,26,Limited,32
Dhaka,Gazipur,Gazipur Sadar,74.6,87.4,High,23,21,54.3,276,Full,424
Dhaka,Gazipur,Kaliakair,79.8,74.7,Medium,13,9,41.2,169,Full,166
Dhaka,Gazipur,Kaliganj,78.8,75.4,Medium,5,7,22.2,29,Partial,122
Dhaka,Gazipur,Kapasia,63.8,69.1,Low,5,8,18.3,30,Partial,68
Dhaka,Gazipur,Sreepur,58.4,58.5,Medium,7,17,27.8,221,Partial,121
Dhaka,Gopalganj,Gopalganj Sadar,71.3,52.5,Medium,3,8,29.3,16,Partial,59
Dhaka,Gopalganj,Kashiani,69.4,76.1,Low,2,4,5.3,32,Partial,58
Dhaka,Gopalganj,Kotalipara,57.5,54.7,Low,3,2,30.3,37,Partial,39
Dhaka,Gopalganj,Muksudpur,62.5,59.0,Low,2,0,6.9,20,Limited,54
Dhaka,Gopalganj,Tungipara,61.8,59.0,Low,1,2,25.6,3,Partial,22
Dhaka,Kishoreganj,Astagram,63.3,61.2,Low,4,0,28.2,11,Limited,46
Dhaka,Kishoreganj,Bajitpur,63.3,71.4,Low,4,4,17.6,69,Partial,84
Dhaka,Kishoreganj,Bhairab,68.5,69.0,Medium,4,5,45.6,25,Full,104
Dhaka,Kishoreganj,Hossainpur,60.9,63.3,Low,2,3,25.3,12,Partial,56
Dhaka,Kishoreganj,Itna,47.9,58.7,Low,2,0,15.6,9,Limited,43
Dhaka,Kishoreganj,Karimganj,56.1,49.6,Low,3,2,26.6,16,Partial,75
Dhaka,Kishoreganj,Katiadi,52.3,58.7,Low,3,8,25.6,42,Partial,63
Dhaka,Kishoreganj,Kishoreganj Sadar,74.3,68.9,Medium,6,10,52.7,96,Full,83
Dhaka,Kishoreganj,Kuliarchar,52.2,46.8,Low,3,4,27.5,39,Partial,62
Dhaka,Kishoreganj,Mithamain,54.9,68.5,Low,2,0,26.8,14,Limited,35
Dhaka,Kishoreganj,Nikli,64.5,65.5,Low,2,0,27.1,3,Limited,25
Dhaka,Kishoreganj,Pakundia,49.2,53.9,Low,4,7,17.2,36,Partial,76
Dhaka,Kishoreganj,Tarail,57.6,48.4,Low,2,0,25.8,21,Limited,58
Dhaka,Madaripur,Kalkini,65.3,67.8,Low,2,0,24.4,0,Limited,49
Dhaka,Madaripur,Madaripur Sadar,67.4,66.5,Medium,3,4,26.1,1,Partial,65
Dhaka,Madaripur,Rajoir,53.4,45.9,Low,2,0,23.5,15,Limited,42
Dhaka,Madaripur,Shibchar,50.3,68.5,Low,4,4,6.8,5,Partial,74
Dhaka,Manikganj,Daulatpur,64.0,65.0,Low,3,4,23.5,10,Partial,49
Dhaka,Manikganj,Ghior,59.1,75.7,Low,2,0,19.0,2,Limited,38
Dhaka,Manikganj,Harirampur,51.7,65.2,Low,2,0,26.8,24,Limited,53
Dhaka,Manikganj,Manikganj Sadar,65.3,69.1,Medium,4,3,27.2,4,Partial,65
Dhaka,Manikganj,Saturia,57.2,40.3,Low,2,5,15.5,32,Partial,43
Dhaka,Manikganj,Shibalaya,63.8,55.9,Low,2,0,15.5,2,Limited,52
Dhaka,Manikganj,Singair,72.0,52.8,Low,3,3,28.2,25,Partial,45
Dhaka,Munshiganj,Gazaria,66.0,53.1,Low,2,7,24.8,50,Partial,46
Dhaka,Munshiganj,Louhajang,37.6,68.3,Low,3,7,22.8,6,Partial,49
Dhaka,Munshiganj,Munshiganj Sadar,68.6,43.6,Medium,5,9,23.9,89,Full,71
Dhaka,Munshiganj,Sirajdikhan,63.8,56.2,Low,3,8,19.3,34,Partial,62
Dhaka,Munshiganj,Sreenagar,54.0,59.9,Low,4,5,19.2,76,Partial,86
Dhaka,Munshiganj,Tongibari,63.0,51.5,Low,4,6,35.3,38,Partial,82
Dhaka,Narayanganj,Araihazar,68.0,57.7,Medium,7,12,25.8,30,Partial,93
Dhaka,Narayanganj,Bandar,86.9,86.6,High,6,14,62.7,401,Full,168
Dhaka,Narayanganj,Narayanganj Sadar,78.6,75.0,High,10,13,51.1,258,Full,168
Dhaka,Narayanganj,Rupganj,70.2,71.1,High,12,13,38.7,447,Full,205
Dhaka,Narayanganj,Sonargaon,60.3,63.3,Medium,6,11,38.0,81,Partial,107
Dhaka,Narsingdi,Belabo,55.2,60.1,Low,3,6,20.1,16,Partial,65
Dhaka,Narsingdi,Monohardi,62.0,72.0,Low,3,5,19.1,8,Partial,66
Dhaka,Narsingdi,Narsingdi Sadar,69.5,61.4,Medium,7,15,51.3,18,Full,183
Dhaka,Narsingdi,Palash,75.3,66.3,High,3,7,43.2,147,Full,59
Dhaka,Narsingdi,Raipura,63.5,55.1,Low,6,9,28.2,43,Partial,78
Dhaka,Narsingdi,Shibpur,62.9,68.6,Low,4,8,31.0,69,Partial,93
Dhaka,Rajbari,Baliakandi,67.5,45.3,Low,2,0,13.5,11,Limited,56
Dhaka,Rajbari,Goalandaghat,54.0,62.1,Low,2,3,22.4,15,Partial,31
Dhaka,Rajbari,Kalukhali,66.4,47.9,Low,1,3,15.5,13,Partial,40
Dhaka,Rajbari,Pangsha,68.8,54.5,Low,3,3,33.4,14,Partial,67
Dhaka,Rajbari,Rajbari Sadar,74.5,66.8,Medium,3,7,33.5,41,Partial,67
Dhaka,Shariatpur,Bhedarganj,55.8,68.4,Low,3,3,36.3,1,Partial,74
Dhaka,Shariatpur,Damudya,62.8,76.0,Low,2,3,30.5,31,Partial,43
Dhaka,Shariatpur,Gosairhat,57.0,47.1,Low,2,0,19.0,16,Limited,58
Dhaka,Shariatpur,Jajira,60.8,52.1,Low,2,4,11.0,33,Partial,58
Dhaka,Shariatpur,Naria,56.0,47.2,Low,2,3,13.8,28,Partial,53
Dhaka,Shariatpur,Shariatpur Sadar,68.8,65.4,Medium,3,3,28.2,73,Partial,69
Dhaka,Tangail,Basail,60.4,68.1,Low,1,0,24.6,4,Limited,37
Dhaka,Tangail,Bhuapur,70.0,41.8,Low,3,4,18.3,27,Partial,62
Dhaka,Tangail,Delduar,58.7,54.6,Low,3,4,12.0,24,Partial,35
Dhaka,Tangail,Dhanbari,57.6,47.4,Low,2,0,34.0,6,Limited,48
Dhaka,Tangail,Ghatail,61.4,63.7,Low,5,10,24.7,1,Partial,88
Dhaka,Tangail,Gopalpur,58.9,55.1,Low,3,4,38.9,23,Partial,37
Dhaka,Tangail,Kalihati,50.2,63.5,Low,4,6,24.6,17,Partial,81
Dhaka,Tangail,Madhupur,59.4,46.7,Low,5,7,18.8,22,Partial,72
Dhaka,Tangail,Mirzapur,63.0,72.0,Low,3,7,20.4,14,Partial,101
Dhaka,Tangail,Nagarpur,53.4,51.6,Low,3,0,36.0,11,Limited,62
Dhaka,Tangail,Sakhipur,53.1,54.5,Low,3,0,22.0,5,Limited,63
Dhaka,Tangail,Tangail Sadar,64.5,65.4,Medium,9,12,30.6,21,Full,161
Khulna,Bagerhat,Bagerhat Sadar,50.5,60.5,Low,4,8,16.5,79,Partial,74
Khulna,Bagerhat,Chitalmari,44.5,54.9,Low,1,0,16.9,20,Limited,38
Khulna,Bagerhat,Fakirhat,42.5,56.0,Low,1,0,27.5,5,Limited,33
Khulna,Bagerhat,Kachua,34.5,56.5,Low,2,0,17.7,11,Limited,48
Khulna,Bagerhat,Mollahat,41.0,53.3,Low,2,0,21.5,21,Limited,39
Khulna,Bagerhat,Mongla,41.8,72.4,Low,1,2,13.2,10,Partial,33
